"id","UniProt","Name","Family"
1,"P32929","Cystathionine gamma-lyase","Enzyme"
2,"A4D0Y5","Uncharacterized protein C7orf77","Other"
3,"Q49A92","Uncharacterized protein C8orf34","Other"
4,"Q9UFW8","CGG triplet repeat-binding protein 1","Other"
5,"Q96K31","Uncharacterized protein C8orf76","Other"
6,"O14646","Chromodomain-helicase-DNA-binding protein 1","Epigenetic"
7,"Q8IWX8","Calcium homeostasis endoplasmic reticulum protein","Other"
8,"Q99653","Calcineurin B homologous protein 1","Other"
9,"O94983","Calmodulin-binding transcription activator 2","Transcription Factor"
10,"Q8NA66","Cyclic nucleotide-binding domain-containing protein 1","Other"
11,"Q96M20","Cyclic nucleotide-binding domain-containing protein 2","Other"
12,"Q86VU5","Catechol O-methyltransferase domain-containing protein 1","Enzyme"
13,"P42695","Condensin-2 complex subunit D3","Other"
14,"Q8IYT2","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2","Enzyme"
15,"Q9NSA3","Beta-catenin-interacting protein 1","Other"
16,"Q96KP4","Cytosolic non-specific dipeptidase","Enzyme"
17,"Q13956","Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma","Enzyme"
18,"O95476","CTD nuclear envelope phosphatase 1","Enzyme"
19,"Q9BYD5","Cornifelin","Other"
20,"Q969H4","Connector enhancer of kinase suppressor of ras 1","Enzyme"
21,"Q6P9H4","Connector enhancer of kinase suppressor of ras 3","Enzyme"
22,"O95406","Protein cornichon homolog 1","Other"
23,"Q3B7I2","Protein canopy homolog 1","Other"
24,"P18545","Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma","Enzyme"
25,"Q9P232","Contactin-3","Other"
26,"Q6PJW8","Consortin","Other"
27,"P26992","Ciliary neurotrophic factor receptor subunit alpha","Other"
28,"Q9NXG0","Centlein","Other"
29,"Q8N8G6","Putative uncharacterized protein C15orf54","Other"
30,"Q8N910","Putative uncharacterized protein C15orf56","Other"
31,"H3BRN8","Uncharacterized protein C15orf65","Other"
32,"Q01955","Collagen alpha-3(IV) chain","Other"
33,"P06681","Complement C2","Other"
34,"P27658","Collagen alpha-1(VIII) chain","Other"
35,"P02461","Collagen alpha-1(III) chain","Other"
36,"P0C0L5","Complement C4-B","Other"
37,"P20908","Collagen alpha-1(V) chain","Other"
38,"P25940","Collagen alpha-3(V) chain","Other"
39,"Q9H4G8","Putative DPH3 homolog B","Other"
40,"P02748","Complement component C9","Other"
