pdb_id	-logAffi	mw	logp	rotb	hbd	hba	q	HA
3zzf	0.4	187.15099999999998	-3.2288999999999985	5.0	1.0	5.0	-2.0	13.0
3gww	0.45	310.3390000000001	3.408800000000002	6.0	1.0	1.0	1.0	22.0
1w8l	0.49	141.214	1.2648000000000001	0.0	0.0	1.0	0.0	10.0
3fqa	0.49	136.12999999999997	-0.36770000000000014	1.0	1.0	3.0	-1.0	10.0
1zsb	0.6	222.251	-0.8561000000000005	2.0	2.0	6.0	0.0	13.0
4obv	0.75	236.24599999999995	-0.5894999999999995	4.0	2.0	2.0	0.0	17.0
1wkm	0.82	149.215	-1.9000999999999986	4.0	1.0	3.0	0.0	9.0
3k41	0.82	258.11899999999997	-4.368399999999996	3.0	4.0	9.0	-2.0	16.0
4eu3	0.82	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
2w97	0.96	92.09400000000001	-1.6680999999999997	2.0	3.0	3.0	0.0	6.0
1p0y	1.0	161.225	-3.289699999999998	6.0	2.0	2.0	1.0	11.0
2b1r	1.0	342.29699999999997	-5.397199999999992	4.0	8.0	11.0	0.0	23.0
2d2v	1.0	342.29699999999997	-5.397199999999992	4.0	8.0	11.0	0.0	23.0
1aw1	1.05	153.00599999999997	-3.4184	3.0	0.0	6.0	-3.0	9.0
1maw	1.1	503.1500000000002	-4.156999999999998	8.0	3.0	18.0	-4.0	31.0
3fl9	1.11	290.32300000000004	1.2576	5.0	2.0	7.0	0.0	21.0
5eb2	1.11	204.22899999999996	-0.9291999999999998	3.0	2.0	2.0	0.0	15.0
4lh2	1.24	116.072	-2.733599999999999	3.0	0.0	4.0	-2.0	8.0
4to8	1.24	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
4fci	1.26	147.15800000000002	-5.9898	3.0	4.0	2.0	1.0	10.0
4fck	1.26	147.15800000000002	-6.2992	3.0	4.0	2.0	1.0	10.0
4clp	1.27	329.20900000000006	-0.8174000000000001	1.0	3.0	10.0	0.0	22.0
1f9g	1.28	176.124	-1.4074	2.0	4.0	6.0	0.0	12.0
1a0t	1.3	342.29699999999997	-5.395599999999992	5.0	8.0	11.0	0.0	23.0
1b74	1.3	146.14600000000002	-3.387699999999999	4.0	2.0	3.0	0.0	10.0
2fah	1.3	102.045	-3.1236999999999995	2.0	0.0	4.0	-2.0	7.0
5oxm	1.3	260.20199999999994	-6.498299999999999	8.0	2.0	7.0	-2.0	18.0
2igw	1.31	172.184	-3.0307999999999975	2.0	1.0	3.0	0.0	12.0
5mnc	1.31	93.12899999999999	1.2688000000000001	0.0	1.0	1.0	0.0	7.0
5mny	1.31	93.12899999999999	1.2688000000000001	0.0	1.0	1.0	0.0	7.0
5moo	1.31	93.12899999999999	1.2688000000000001	0.0	1.0	1.0	0.0	7.0
2vl1	1.35	132.119	-3.905599999999999	3.0	2.0	3.0	0.0	9.0
3nm6	1.35	122.144	-3.0559999999999983	3.0	4.0	3.0	1.0	8.0
1qpb	1.36	87.07799999999999	-0.9393	1.0	1.0	2.0	0.0	6.0
1hty	1.4	118.17599999999999	0.5282	2.0	2.0	2.0	0.0	8.0
1o4l	1.4	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
1o4m	1.4	102.045	-3.1236999999999995	2.0	0.0	4.0	-2.0	7.0
1o4n	1.4	88.018	-3.5138	0.0	0.0	4.0	-2.0	6.0
2hdq	1.4	127.14399999999996	0.11160000000000003	1.0	0.0	3.0	-1.0	8.0
