pdb_id	-logAffi
1uto	2.27
3l7b	2.4
3udh	2.85
4llx	2.89
5aba	2.98
4bkt	3.62
2v00	3.66
3n7a	3.7
3d6q	3.76
2hb1	3.8
4agn	3.97
3kwa	4.08
3g2n	4.09
3u9q	4.38
3rsx	4.41
4w9c	4.65
4agp	4.69
1vso	4.72
2brb	4.86
1bzc	4.92
2r9w	5.1
3b27	5.16
3bv9	5.36
3u5j	5.61
1z9g	5.64
5c28	5.66
2y5h	5.79
4dld	5.82
4w9i	5.96
3coy	6.02
4kzq	6.1
1yc1	6.17
3bgz	6.26
4wiv	6.26
4eor	6.3
2zb1	6.32
1gpn	6.48
3uo4	6.52
3wtj	6.53
3jvs	6.54
1k1i	6.58
2yfe	6.63
4k77	6.63
4f09	6.7
4djv	6.72
4ogj	6.79
2xnb	6.83
3n76	6.85
3pyy	6.86
3jya	6.89
2wer	7.05
1lpg	7.09
3zdg	7.1
1z95	7.12
3tsk	7.17
4cra	7.22
1oyt	7.24
3p5o	7.26
1qf1	7.32
1owh	7.4
2zy1	7.4
3up2	7.4
4j21	7.41
2qbq	7.44
2c3i	7.6
4e5w	7.66
4j3l	7.8
4hge	7.92
2qe4	7.96
3uuo	7.96
3e92	8.0
3fur	8.0
3kr8	8.1
3e5a	8.23
1nvq	8.25
2v7a	8.3
1h23	8.35
4e6q	8.36
2al5	8.4
2qbp	8.4
2zda	8.4
3b68	8.4
2xbv	8.43
3b1m	8.48
2fvd	8.52
4qd6	8.64
4crc	8.72
4ivb	8.72
2vkm	8.74
2wtv	8.74
3e93	8.85
4k18	8.96
2p4y	9.0
3dd0	9.0
3ui7	9.0
1qkt	9.04
1h22	9.1
1sqa	9.21
4jia	9.22
3g0w	9.52
4ivd	9.52
4ty7	9.52
2pog	9.54
4gr0	9.55
1z6e	9.72
4ivc	10.0
4rfm	10.05
4tmn	10.17
2p15	10.3
3myg	10.7
4gid	10.77
5c2h	11.09
1mq6	11.15
5dwr	11.22
3o9i	11.82
