PDB ID	Entry	Cross-reference (ChEMBL)	Cross-reference (BindingDB)	Protein names
4obv	A7B1V0			Tryptophan decarboxylase (Trp decarboxylase) (EC 4.1.1.105)
1wkm	P56218	CHEMBL4857;		Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
1aw1	P50921			Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)
4to8	W8TRN9			Fructose-1,6-bisphosphate aldolase (EC 4.1.2.13) (Fructose-bisphosphate aldolase)
1a0t	P22340			Sucrose porin
1b74	P56868			Glutamate racemase (EC 5.1.1.3)
2fah	P21642			Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)
2vl1	Q96W94			Beta-alanine synthase (EC 3.5.1.6)
1qpb	P06169			Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)
3e81	Q8A712			2-keto-3-deoxy-D-glycero-D-galacto-9-phosphonononic acid phosphatase (KDN-9-P phosphatase) (EC 3.1.3.103) (2-keto-3-deoxy-D-glycero-D-galacto-nonic acid-9-phosphate phosphatase) (KDN9PP) (3-deoxy-D-glycero-D-galacto-nonulopyranosonate 9-phosphatase)
5vqe	A0A2R2JFS5			Beta-glucoside phosphorylase BglX
4lh2,4lh3	Q8CHT0			Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)
3mwe	P53396	CHEMBL3720;	P53396;	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)
2b1r,2d2v,2b1q	P74325			Sucrose-phosphate phosphatase (EC 3.1.3.24)
2o9r	P22505			Beta-glucosidase B (EC 3.2.1.21) (Amygdalase) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)
2sfp	P10724	CHEMBL1075086;		Alanine racemase (EC 5.1.1.1)
3gf2	Q96ZY1			Putative MarR family transcriptional regulator
6cex	P03436			Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]
6cex	Q91MA7			Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]
6cf5	Q6DQ18			Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain] (Fragment)
