pdb_id	-logAffi
3fl9	1.11
2hdq	1.4
1utp	1.44
1tnk	1.49
1a7t	1.64
2hdr	1.72
1u2y	1.74
4mrh	1.9
2hds	2.0
1gbt	2.0
4awj	2.0
4qsv	2.0
5nzq	2.03
5tyh	2.08
6gmx	2.17
3l7d	2.18
4mre	2.19
4np2	2.26
5fnj	2.29
2hdu	2.3
6gmq	2.3
4e3d	2.3
1o4j	2.36
4jck	2.37
1nwl	2.39
4zsm	2.4
3t2t	2.4
1o4h	2.44
1o4o	2.46
5jal	2.47
5n53	2.55
2c4v	2.6
1o4p	2.6
3p1d	2.64
4usw	2.69
2ha4	2.7
3fud	2.7
3hvg	2.7
2ohk	2.7
4h4b	2.7
1ny2	2.76
2bza	2.8
2bge	2.8
5fbi	2.8
3fue	2.82
3fu3	2.84
4fgz	2.87
5ngz	2.89
5aes	2.89
2pri	2.91
4lm3	2.92
4y2q	2.92
1zp5	2.92
1o4k	2.92
5c0k	2.92
5flq	2.97
3djq	2.98
4llk	3.0
5ye8	3.0
5jan	3.01
6f6n	3.02
4q81	3.02
4qp2	3.03
3t1m	3.04
3zvv	3.04
2vcw	3.05
2ohl	3.05
4nyi	3.06
1s26	3.07
6ew6	3.08
1mdl	3.09
5cr7	3.1
4y2j	3.1
5eh8	3.1
3msj	3.11
3kac	3.13
3odk	3.14
3ecn	3.16
4hnc	3.17
3g1v	3.19
6f6i	3.19
3fty	3.21
1br6	3.22
2uy3	3.22
4tyl	3.22
4unp	3.23
4lm1	3.23
4y2u	3.24
2r8q	3.24
4luo	3.24
4k60	3.24
6g9b	3.24
3t1l	3.26
3ioe	3.27
5mt0	3.3
4msa	3.3
5mt4	3.3
1o4e	3.3
2xml	3.3
4mrw	3.3
1zd3	3.3
5c7a	3.31
4k2y	3.33
188l	3.33
3zxe	3.35
2qcm	3.35
2c6g	3.37
4mrd	3.37
4ms0	3.39
3mrx	3.39
2j9h	3.39
1il9	3.4
3d8y	3.4
6ce8	3.41
4llj	3.42
4mi9	3.42
3px9	3.42
5osl	3.43
5wi0	3.44
2xp5	3.44
1wcc	3.46
4qp6	3.46
4tz2	3.46
5ma7	3.47
3g1d	3.48
2c90	3.48
2f10	3.48
2qcf	3.49
1c5o	3.49
2ohm	3.51
3nus	3.51
5dtt	3.51
5mod	3.52
1ysg	3.52
3mfw	3.52
4mrz	3.52
3zly	3.52
1o4f	3.52
6f5u	3.54
185l	3.54
5dts	3.55
2ycm	3.56
1np0	3.57
4xm7	3.57
6gjm	3.58
2pgl	3.59
4q7v	3.59
2nn8	3.59
