pdb_id	-logAffi
3fl9	1.11
2hdq	1.4
1utp	1.44
1tnk	1.49
2hdr	1.72
1u2y	1.74
4mrh	1.9
1gbt	2.0
4awj	2.0
4qsv	2.0
5nzq	2.03
5tyh	2.08
3l7d	2.18
1uto	2.27
3fu0	2.28
5fnj	2.29
4e3d	2.3
1o4j	2.36
4jck	2.37
1nwl	2.39
4zsm	2.4
3l7b	2.4
1o4h	2.44
3mjl	2.44
5jal	2.47
3rik	2.47
3mfv	2.52
4e3f	2.52
4y2p	2.66
4h4b	2.7
3hvg	2.7
3fud	2.7
2ha4	2.7
2ohk	2.7
5fbi	2.8
5ofw	2.8
2bza	2.8
2bge	2.8
3fue	2.82
3fu3	2.84
4luv	2.85
3udh	2.85
4llx	2.89
5ngz	2.89
2pri	2.91
5c0k	2.92
4y2q	2.92
3ftv	2.93
4mrg	2.96
3imc	2.96
5flq	2.97
3djq	2.98
4llk	3.0
2vtm	3.0
3ap7	3.0
3fuk	3.02
4q81	3.02
4qp2	3.03
3t1m	3.04
3zvv	3.04
2ohl	3.05
2vcw	3.05
4csy	3.06
4nyi	3.06
3rxj	3.06
1s26	3.07
1mdl	3.09
5eh8	3.1
4y2j	3.1
3kac	3.13
3odk	3.14
3ecn	3.16
4hnc	3.17
3g1v	3.19
3fty	3.21
4tyl	3.22
1br6	3.22
4lm1	3.23
4unp	3.23
4luo	3.24
4k60	3.24
2r8q	3.24
4y2u	3.24
3ioe	3.27
3ms4	3.28
5duw	3.29
4msa	3.3
4tz8	3.3
2xml	3.3
5mt0	3.3
1zd3	3.3
4np3	3.3
1i2s	3.31
5c7a	3.31
4i7j	3.32
4k2y	3.33
188l	3.33
3zxe	3.35
3d8z	3.37
2c6g	3.37
4mrd	3.37
3mrx	3.39
4ms0	3.39
1il9	3.4
3d8y	3.4
4mi9	3.42
3px9	3.42
4llj	3.42
2c57	3.43
1kti	3.43
4bhf	3.46
3nuy	3.46
1t48	3.46
2wi3	3.46
1wcc	3.46
4qp6	3.46
5ma7	3.47
2c90	3.48
3g1d	3.48
1c5o	3.49
2qcf	3.49
2ohm	3.51
5dtt	3.51
3nus	3.51
1o4f	3.52
4hv7	3.52
4mrz	3.52
3mfw	3.52
3zly	3.52
5mod	3.52
185l	3.54
5vkm	3.55
5dts	3.55
2ycm	3.56
1np0	3.57
5csh	3.57
2pgj	3.59
2nn8	3.59
4q7v	3.59
2xdk	3.6
5lvr	3.6
2bgr	3.6
1zd4	3.6
2oq6	3.6
3b3x	3.6
3ftu	3.61
4qp1	3.61
1pb9	3.62
