unique_identify	-logAffi
CHEMBL5173_2za3_CHEMBL1164065	0.0409586076789063
CHEMBL4630_2xf0_CHEMBL1236804	0.1799999999984197
CHEMBL235_4xum_CHEMBL1784945	0.2076083105017461
CHEMBL205_1zfq_CHEMBL208108	0.6019999999993801
CHEMBL4696_1a8i_CHEMBL609856	0.6575773191777937
CHEMBL205_3mhc_CHEMBL206614	0.6990000000071107
CHEMBL4630_2xey_CHEMBL2235323	0.6999999999932263
CHEMBL205_6bc9_CHEMBL205458	0.7780999999968081
CHEMBL205_3mhc_CHEMBL208361	0.9030000000061552
CHEMBL205_2pov_CHEMBL381906	0.9541499999949792
CHEMBL335_2cm7_CHEMBL2297014	1.0
CHEMBL205_3r17_CHEMBL205347	1.0
CHEMBL335_2cma_CHEMBL2297006	1.0
3fl9	1.11
CHEMBL2360_4rac_CHEMBL2420976	1.136677139879544
CHEMBL205_2nnv_CHEMBL205348	1.1483500000075786
CHEMBL335_2cm7_CHEMBL2297004	1.155000000001411
CHEMBL308_6gu4_CHEMBL311354	1.2839966563652008
CHEMBL4531_2nn8_CHEMBL1233058	1.3010299956639813
CHEMBL4915_3oy8_CHEMBL1233058	1.3010299956639813
CHEMBL4630_2xf0_CHEMBL2235322	1.3400000000141332
CHEMBL4630_2xf0_CHEMBL2235318	1.3400000000141332
CHEMBL4630_2xf0_CHEMBL2235321	1.3600000000399617
CHEMBL2026_2hdq_CHEMBL1222314	1.3979400086720375
2hdq	1.4
CHEMBL4822_4wy6_CHEMBL3910805	1.431798275933005
CHEMBL4848_4tpw_CHEMBL3310347	1.4365189146055894
1utp	1.44
CHEMBL205_2pov_CHEMBL140463	1.4472000000101497
1tnk	1.49
CHEMBL205_1zge_CHEMBL382476	1.4911999999597405
CHEMBL205_3ryv_CHEMBL204338	1.5050499999817455
1a7t	1.64
CHEMBL4822_1xs7_CHEMBL2299399	1.6489999999579552
CHEMBL4630_2xf0_CHEMBL2235320	1.6599999999899857
2hdr	1.72
CHEMBL2026_2hdr_CHEMBL1462	1.7212463990471711
CHEMBL205_3s73_CHEMBL208107	1.7322000000061688
1u2y	1.74
CHEMBL2150837_4qsv_CHEMBL3621564	1.7695510786217257
CHEMBL205_2nng_CHEMBL1097313	1.8200000001251635
CHEMBL335_2cm7_CHEMBL2296752	1.823999999855892
CHEMBL3232693_4mrh_CHEMBL3237625	1.8996294548824368
CHEMBL1914_6eqp_CHEMBL1200970	1.91721462968355
CHEMBL3232693_4mrg_CHEMBL14346	1.9507819773298185
CHEMBL205_4e3f_CHEMBL448399	1.9759250126925736
CHEMBL4822_1xs7_CHEMBL2299401	1.9789999998561327
CHEMBL4531_2nn8_CHEMBL502337	2.0
CHEMBL4630_2xf0_CHEMBL1170534	2.0
CHEMBL308_6gu4_CHEMBL80203	2.0
CHEMBL4630_2xf0_CHEMBL1170921	2.0
2hds	2.0
CHEMBL2026_2hds_CHEMBL339996	2.0
CHEMBL4630_2xf0_CHEMBL1170533	2.0
CHEMBL4630_2xf0_CHEMBL1170750	2.0
CHEMBL3301400_4awj_CHEMBL3108877	2.0
CHEMBL4630_2xf0_CHEMBL2235319	2.0
CHEMBL2150837_4qsv_CHEMBL52609	2.0
CHEMBL3769_3rxj_CHEMBL20767	2.0
1gbt	2.0
CHEMBL308_6gu4_CHEMBL276120	2.0
4awj	2.0
CHEMBL4915_3oy8_CHEMBL4536792	2.0
CHEMBL4630_2xf0_CHEMBL1169926	2.0
