unique_identify	-logAffi
CHEMBL5173_2za3_CHEMBL1164065	0.0409586076789063
CHEMBL4630_2xf0_CHEMBL1236804	0.1799999999984197
CHEMBL235_4xum_CHEMBL1784945	0.2076083105017461
CHEMBL308_6gu4_CHEMBL80168	0.3665315444204134
CHEMBL205_1zfq_CHEMBL208108	0.6019999999993801
CHEMBL205_3mhc_CHEMBL206614	0.6990000000071107
CHEMBL205_3s73_CHEMBL382035	0.6990000000071107
CHEMBL4630_2xey_CHEMBL2235323	0.6999999999932263
CHEMBL205_2pov_CHEMBL381906	0.9541499999949792
CHEMBL205_3r17_CHEMBL205347	1.0
CHEMBL335_2cmb_CHEMBL2297019	1.0
CHEMBL335_2cma_CHEMBL2297005	1.0
CHEMBL335_2cm7_CHEMBL2297014	1.0
CHEMBL335_2cma_CHEMBL2297006	1.0
CHEMBL2360_4rac_CHEMBL2420976	1.136677139879544
CHEMBL205_2nnv_CHEMBL205348	1.1483500000075786
CHEMBL4915_3oy8_CHEMBL1233058	1.3010299956639813
CHEMBL4531_2nn8_CHEMBL1233058	1.3010299956639813
CHEMBL4630_2xf0_CHEMBL2235322	1.3400000000141332
CHEMBL4630_2xf0_CHEMBL2235318	1.3400000000141332
CHEMBL4630_2xf0_CHEMBL2235321	1.3600000000399617
CHEMBL2026_2hdq_CHEMBL1222314	1.3979400086720375
CHEMBL4822_4wy6_CHEMBL3910805	1.431798275933005
CHEMBL4848_4tpw_CHEMBL3310347	1.4365189146055894
CHEMBL205_2pov_CHEMBL140463	1.4472000000101497
CHEMBL205_2nng_CHEMBL383517	1.4620499999921208
CHEMBL205_1zge_CHEMBL382476	1.4911999999597405
CHEMBL4822_1xs7_CHEMBL2299399	1.6489999999579552
CHEMBL4630_2xf0_CHEMBL2235320	1.6599999999899857
CHEMBL2150837_4qsv_CHEMBL106175	1.6777807052660807
CHEMBL2026_2hdr_CHEMBL1462	1.7212463990471711
CHEMBL205_3s73_CHEMBL208107	1.7322000000061688
CHEMBL2045_1u2y_CHEMBL1213470	1.7447274948966938
CHEMBL2150837_4qsv_CHEMBL444314	1.7447274948966938
CHEMBL2150837_4qsv_CHEMBL3621564	1.7695510786217257
CHEMBL335_2cm7_CHEMBL2296752	1.823999999855892
CHEMBL1075088_3iqi_CHEMBL569309	1.87999999985386
CHEMBL1914_6eqp_CHEMBL1200970	1.91721462968355
CHEMBL205_4e3f_CHEMBL448399	1.9759250126925736
CHEMBL4630_2xf0_CHEMBL1170534	2.0
CHEMBL4630_2xf0_CHEMBL1169926	2.0
CHEMBL4630_2xf0_CHEMBL1170750	2.0
CHEMBL3301400_4awj_CHEMBL3108877	2.0
CHEMBL4630_2xf0_CHEMBL1170741	2.0
CHEMBL2026_2hds_CHEMBL339996	2.0
CHEMBL3769_3rxj_CHEMBL20767	2.0
CHEMBL4531_2nn8_CHEMBL502337	2.0
CHEMBL2150837_4qsv_CHEMBL52609	2.0
CHEMBL4630_2xey_CHEMBL2235317	2.0
CHEMBL4915_3oy8_CHEMBL442951	2.0
CHEMBL4630_2xf0_CHEMBL2235319	2.0
CHEMBL4630_2xf0_CHEMBL1172645	2.0
CHEMBL4630_2xf0_CHEMBL1170921	2.0
CHEMBL2311243_5nzq_CHEMBL3262562	2.0315170514460648
CHEMBL308_6gu4_CHEMBL75973	2.0457574905606752
CHEMBL4848_4tpw_CHEMBL254578	2.058488567365597
CHEMBL4105798_5tyh_CHEMBL1502137	2.0757207139381184
