name,partition,set,error
CHEMBL4222_1vyq_CHEMBL195997,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL195997 (PLANet_train set)
CHEMBL4222_1vyq_CHEMBL3143782,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL3143782 (PLANet_train set)
CHEMBL4822_4j1e_CHEMBL3971064,crystal,PLANet_train,invalid charges for the ligand CHEMBL4822_4j1e_CHEMBL3971064 (PLANet_train set)
CHEMBL1937_4lxz_CHEMBL4250582,crystal,PLANet_train,invalid charges for the ligand CHEMBL1937_4lxz_CHEMBL4250582 (PLANet_train set)
CHEMBL251_2ydv_CHEMBL267421,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_2ydv_CHEMBL267421 (PLANet_train set)
CHEMBL251_5wf5_CHEMBL4069499,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_5wf5_CHEMBL4069499 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4217952,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4217952 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4171114,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4171114 (PLANet_train set)
CHEMBL2094120_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2094120_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL2095190_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2095190_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL2094121_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2094121_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL5251_4otf_CHEMBL3401271,crystal,PLANet_train,invalid charges for the ligand CHEMBL5251_4otf_CHEMBL3401271 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4203590,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4203590 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4171921,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4171921 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4165154,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4165154 (PLANet_train set)
CHEMBL2176771_5fck_CHEMBL4108371,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4108371 (PLANet_train set)
6b30,crystal,PLANet_train,invalid charges for the ligand 6b30 (PLANet_train set)
CHEMBL2176771_5nar_CHEMBL4109454,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5nar_CHEMBL4109454 (PLANet_train set)
