name,partition,set,error
CHEMBL4222_1vyq_CHEMBL195997,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL195997 (PLANet_train set)
CHEMBL4222_1vyq_CHEMBL3143782,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL3143782 (PLANet_train set)
CHEMBL4822_4j1e_CHEMBL3971064,crystal,PLANet_train,invalid charges for the ligand CHEMBL4822_4j1e_CHEMBL3971064 (PLANet_train set)
CHEMBL251_2ydv_CHEMBL267421,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_2ydv_CHEMBL267421 (PLANet_train set)
CHEMBL251_2ydv_CHEMBL240065,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_2ydv_CHEMBL240065 (PLANet_train set)
CHEMBL2176771_5fck_CHEMBL4110524,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4110524 (PLANet_train set)
CHEMBL2176771_5fck_CHEMBL4112047,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4112047 (PLANet_train set)
CHEMBL2176771_5fck_CHEMBL4108371,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4108371 (PLANet_train set)
CHEMBL4625_4ehr_CHEMBL3939961,crystal,PLANet_train,invalid charges for the ligand CHEMBL4625_4ehr_CHEMBL3939961 (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223040,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223040 (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223265,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223265 (PLANet_train set)
CHEMBL205_4yyt_CHEMBL4166037,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_4yyt_CHEMBL4166037 (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223041,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223041 (PLANet_train set)
CHEMBL4625_4ehr_CHEMBL2030861,crystal,PLANet_train,invalid charges for the ligand CHEMBL4625_4ehr_CHEMBL2030861 (PLANet_train set)
4ehr,crystal,PLANet_train,invalid charges for the ligand 4ehr (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223264,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223264 (PLANet_train set)
CHEMBL5251_4otf_CHEMBL3401271,crystal,PLANet_valid,invalid charges for the ligand CHEMBL5251_4otf_CHEMBL3401271 (PLANet_valid set)
CHEMBL2176771_5nar_CHEMBL4109454,crystal,PLANet_valid,invalid charges for the ligand CHEMBL2176771_5nar_CHEMBL4109454 (PLANet_valid set)
CHEMBL1937_4lxz_CHEMBL4250582,crystal,PLANet_test,invalid charges for the ligand CHEMBL1937_4lxz_CHEMBL4250582 (PLANet_test set)
