pdb_id	-logAffi
5oxm	1.3
5vqe	1.49
6cex	1.7
6cf5	1.7
1mwt	1.88
5oxn	1.96
6evq	2.0
6fap	2.15
6fi1	2.15
6ghj	2.16
5oxk	2.17
5z5f	2.17
6gmx	2.17
6g47	2.18
5fsb	2.22
6gmq	2.3
5fsc	2.36
6fhq	2.47
6fhu	2.64
6fty	2.7
5oyd	2.75
6er4	2.77
6cw4	2.82
6evm	2.82
6mj7	2.82
5z1c	2.86
6f6s	2.89
6mvu	2.89
6fv4	2.92
5ye8	3.0
6fh6	3.0
6fh7	3.0
6ftz	3.0
6gjy	3.0
5z4h	3.02
6f6n	3.02
6ew6	3.08
6cea	3.14
6cv8	3.17
6f6i	3.19
5ijr	3.2
5ou2	3.22
5qay	3.23
6er3	3.24
6g9b	3.24
5oxl	3.25
5yf1	3.28
5z4o	3.28
5oul	3.3
6bsx	3.3
6dlx	3.32
6mv3	3.33
5wxp	3.35
6gxw	3.36
5o4t	3.4
5qaw	3.4
5qaz	3.4
6fg6	3.4
6ce8	3.41
5yij	3.42
5osl	3.43
5wi0	3.44
6exs	3.44
5qal	3.46
5qaj	3.48
5z9e	3.48
5ybi	3.49
6b0v	3.49
6d9x	3.49
6gbe	3.5
5mby	3.51
5qaf	3.51
5qa5	3.52
6eji	3.52
5qaq	3.54
6f5u	3.54
6fn9	3.55
6ccl	3.56
6gjm	3.58
6egs	3.59
5qac	3.6
5y97	3.6
6gx3	3.6
5oqu	3.61
6beb	3.61
5qae	3.62
5qao	3.62
5ork	3.63
5qa9	3.64
6ccs	3.64
6g28	3.64
5o1s	3.65
5qab	3.65
6gg5	3.65
5kh7	3.66
5nzn	3.66
5qak	3.66
6fzu	3.67
5wxo	3.68
6cfc	3.68
5os7	3.69
6fdu	3.69
6gg4	3.69
6gmd	3.69
5qag	3.7
6chm	3.7
6gjj	3.7
5qas	3.72
6g46	3.73
6cef	3.74
6gjr	3.74
6gxu	3.74
5qa6	3.76
5qa4	3.77
5qa8	3.77
5qad	3.77
5qar	3.77
6fuh	3.77
6g0v	3.78
5mos	3.79
6g2a	3.79
4yb7	3.8
5qax	3.8
5qb0	3.8
5qai	3.82
6f5w	3.83
5mnn	3.84
5mno	3.84
5mo2	3.84
5qah	3.84
5qat	3.85
6czd	3.85
5oh9	3.86
5ylj	3.86
6gjl	3.86
5oh3	3.87
6gji	3.87
5iu6	3.89
5mli	3.9
5nzm	3.9
5qaa	3.91
6min	3.91
6g9i	3.93
5o1g	3.94
5o1c	3.95
6cbg	3.95
6fdq	3.95
5qa7	3.96
5qan	3.96
5yvt	3.96
6fgf	3.96
5os8	3.98
5yj8	3.98
6bef	3.98
6fx1	3.98
5qam	4.0
5qap	4.0
6axq	4.0
6cvd	4.0
5wf7	4.01
5xof	4.01
6bec	4.01
6fam	4.01
6bgg	4.02
5nzf	4.03
5w4s	4.03
5xo2	4.03
5yqn	4.03
6cze	4.03
6ex0	4.03
6fns	4.03
5om2	4.06
6agg	4.07
6dai	4.07
5var	4.09
6beh	4.09
5om3	4.1
5w7x	4.1
6c98	4.1
6f6d	4.1
5o5h	4.12
6cvv	4.12
6g92	4.12
6cct	4.14
5qau	4.15
5qav	4.15
5qb2	4.15
6h0b	4.15
6f55	4.16
5wa1	4.17
6c28	4.17
5yyz	4.18
6euz	4.18
6f8g	4.18
6b0y	4.19
6cee	4.19
5kh3	4.22
5niy	4.22
5tig	4.22
6bmr	4.22
6gxa	4.22
5umw	4.23
5oh2	4.24
6cq5	4.24
6fsd	4.24
6bod	4.26
6e05	4.26
6e06	4.26
6gnm	4.26
6mxe	4.26
6hh5	4.27
5jgi	4.3
5o5f	4.3
5vt1	4.3
5zku	4.3
5zla	4.3
6ey7	4.3
6fdt	4.3
6fug	4.3
6fuj	4.3
6hdn	4.3
5qb3	4.31
6f20	4.31
4zcs	4.33
5ods	4.33
6czb	4.33
6exj	4.33
6cec	4.35
6fer	4.36
6gih	4.36
5oh7	4.37
5orh	4.39
6eu6	4.39
5oh1	4.41
6cd9	4.42
6h8s	4.42
6ccu	4.45
6q3q	4.45
6cq0	4.46
6fui	4.46
6f05	4.47
5o1e	4.48
5ovv	4.48
5wxf	4.48
5yto	4.48
6c5f	4.48
6gh9	4.48
6gqm	4.48
6hoy	4.48
6g86	4.49
5yl2	4.5
6bau	4.51
5o1a	4.52
5o1f	4.52
5y20	4.52
6ami	4.52
6ccn	4.52
6evp	4.53
5wg6	4.54
6e83	4.54
6mi6	4.54
5oh4	4.55
5oss	4.55
6edr	4.55
6gnp	4.55
6miq	4.55
5ost	4.56
5ko5	4.57
6g07	4.57
5wfd	4.58
5yql	4.59
6fnq	4.59
5n1p	4.6
5oae	4.6
5yp5	4.6
5yp6	4.6
6eq1	4.61
6g0q	4.61
5jgq	4.62
6f1j	4.62
6fgl	4.62
5w8h	4.63
5jhk	4.64
5uxn	4.64
6f8w	4.64
6fcl	4.64
5ndb	4.66
5o1d	4.66
6bee	4.66
5zh3	4.67
5znr	4.67
5zt1	4.67
6fmk	4.67
5mng	4.68
5mnh	4.68
5mo0	4.68
5moq	4.68
6bm6	4.68
6bmv	4.68
6fnt	4.68
5znp	4.69
5h85	4.7
5mkx	4.7
5mkz	4.7
5o1b	4.7
5o48	4.7
5o55	4.7
5qb1	4.7
5wg7	4.7
6f8r	4.7
6fba	4.7
6fut	4.7
6gu4	4.7
4yb5	4.71
5nne	4.71
6cd8	4.71
6evn	4.71
6bed	4.72
6bmx	4.72
6e49	4.72
5ov8	4.74
5w0l	4.74
5zmq	4.74
6dub	4.74
6fse	4.74
5yz7	4.75
6c2x	4.76
5iyy	4.77
5nxx	4.77
5o0j	4.77
5o5a	4.77
5orj	4.77
5yba	4.77
6bj3	4.77
6f8x	4.77
6fgg	4.77
5zuj	4.78
6czc	4.78
6fbw	4.78
6f6u	4.8
6f8v	4.8
5ocj	4.82
6as6	4.82
6h2t	4.82
5xyx	4.84
5o1h	4.85
5yc3	4.85
6cq4	4.85
6dxg	4.85
5yfs	4.86
6afg	4.86
6apu	4.87
5nwe	4.88
6clv	4.88
5ier	4.89
5o9o	4.89
5oha	4.89
5z7b	4.89
6am8	4.89
6cus	4.89
5npr	4.9
5wfc	4.9
6fnx	4.9
6iik	4.91
5otr	4.92
5yc4	4.92
5ytu	4.92
6bg3	4.92
6bh3	4.92
6dq4	4.92
6ful	4.92
5yc2	4.94
6f34	4.94
6hmg	4.94
5yz2	4.95
5xiw	4.96
6drt	4.97
6f4x	4.97
6f9r	4.97
6gnw	4.99
5nq5	5.0
5o3r	5.0
5wi1	5.0
5yft	5.0
6bto	5.0
6ft7	5.0
6g7f	5.0
5oa2	5.01
6emu	5.03
6fby	5.03
6fmi	5.03
5ovp	5.04
5xyy	5.04
5f29	5.05
5nxy	5.05
5xhs	5.05
6b67	5.05
6bmi	5.05
6d50	5.05
6eww	5.05
6exi	5.05
6dik	5.07
6dq6	5.07
5jmx	5.09
5o9p	5.09
6e86	5.09
6ap8	5.1
6ce6	5.1
