pdb_id	-logAffi
6gmx	2.17
6gmq	2.3
5ye8	3.0
6ftz	3.0
6f6n	3.02
6ew6	3.08
6f6i	3.19
6g9b	3.24
6ce8	3.41
5osl	3.43
5wi0	3.44
6f5u	3.54
6gjm	3.58
6gx3	3.6
5kh7	3.66
6fzu	3.67
6cef	3.74
6fuh	3.77
5qax	3.8
5qb0	3.8
6g9i	3.93
5o1c	3.95
6cbg	3.95
6axq	4.0
5yqn	4.03
5var	4.09
6g92	4.12
5qb2	4.15
6b0y	4.19
6cee	4.19
5oh2	4.24
6fug	4.3
6fuj	4.3
6hdn	4.3
6f20	4.31
6cec	4.35
6fui	4.46
5o1e	4.48
5o1a	4.52
5o1f	4.52
5wg6	4.54
5oh4	4.55
6g07	4.57
5yql	4.59
5yp5	4.6
5yp6	4.6
5w8h	4.63
5o1d	4.66
6fmk	4.67
5h85	4.7
5o1b	4.7
6fut	4.7
6gu4	4.7
5w0l	4.74
6fse	4.74
5o5a	4.77
6f6u	4.8
5xyx	4.84
5o1h	4.85
6cq4	4.85
6iik	4.91
5otr	4.92
6bg3	4.92
6dq4	4.92
6g7f	5.0
5xyy	5.04
5y0x	5.11
6f9u	5.13
5mwz	5.15
5y2f	5.15
5ow8	5.16
5th7	5.16
6dq5	5.19
6bhv	5.23
6cj1	5.27
6g0w	5.28
6an1	5.35
6gu3	5.36
6cb5	5.37
6eyb	5.37
6baw	5.38
6g8m	5.38
5ep7	5.4
5o1i	5.4
6cjh	5.42
5ye7	5.46
6ekq	5.46
5o4s	5.47
6c7w	5.47
6f29	5.49
6g91	5.49
6hm6	5.5
6ewe	5.51
6exm	5.52
6esm	5.53
6boe	5.54
6chh	5.57
6bh2	5.62
6es0	5.65
6fqu	5.66
6f28	5.67
6eip	5.7
5yjf	5.74
6boy	5.74
6ev0	5.74
6eij	5.77
6hjj	5.77
6eog	5.8
6gu2	5.8
6ey8	5.81
6ced	5.82
6g8n	5.84
5eng	5.85
5mme	5.85
5za7	5.87
6fmc	5.88
6fmf	5.88
5t5g	5.89
5wzw	5.91
6ey9	5.91
5owl	5.92
5zfi	5.92
6ej3	5.93
5y13	5.94
6epa	5.95
6bg5	6.0
6eln	6.05
5yqo	6.09
6hpw	6.09
5y86	6.1
6bbv	6.1
6f8u	6.1
6b4d	6.11
6fmj	6.12
5xvf	6.15
6g98	6.15
6guk	6.15
6h1h	6.17
6c91	6.19
6eea	6.2
5ttf	6.21
5vyy	6.21
5y12	6.23
5za8	6.29
6cbh	6.29
6ekn	6.29
6elo	6.29
6gy1	6.3
6hu3	6.3
6czu	6.32
6bgx	6.33
6d5j	6.34
6da4	6.34
5ylt	6.39
6bkx	6.39
5l8y	6.4
5l9h	6.4
6bny	6.4
6f92	6.4
6eiq	6.42
6hvi	6.42
5w8j	6.43
6eeo	6.43
5vfd	6.44
6ekd	6.44
6hqy	6.44
5ye9	6.45
5j8u	6.47
5yve	6.48
6ek3	6.48
6fe0	6.48
5vnd	6.49
6dqb	6.49
6faf	6.51
6eum	6.52
6eeh	6.54
6e9w	6.55
6f3b	6.56
6bky	6.57
6dud	6.59
6c2y	6.6
6d5g	6.6
6eis	6.6
6hdo	6.6
6cmr	6.61
6eqv	6.62
6elp	6.63
6guf	6.65
5nxi	6.66
6c5q	6.66
6dar	6.66
6b1k	6.67
5wzv	6.68
5y0f	6.68
6bgw	6.68
5g5v	6.7
5y0g	6.7
6ciy	6.7
6g5j	6.7
6nao	6.7
5ya5	6.72
6etj	6.72
6fo5	6.72
5j27	6.74
5xsu	6.74
5za9	6.74
6di1	6.74
6htz	6.74
5nr8	6.76
6f9v	6.76
5uzj	6.78
5zaf	6.78
5nrf	6.79
6bsm	6.8
6ej4	6.8
5wlt	6.81
5w8i	6.82
5ylv	6.82
6bgy	6.82
6fyp	6.84
5j64	6.85
6d5e	6.85
6eox	6.85
6fqo	6.85
6cis	6.87
6gl9	6.87
5h4j	6.89
6glb	6.89
5nra	6.91
6hu0	6.91
6bsk	6.92
6d5h	6.92
6hsz	6.94
6b1c	6.95
6bl1	6.96
5zag	6.97
6c5t	6.97
6eif	6.98
5g2b	7.0
5l8c	7.0
5mwy	7.0
6hdq	7.0
6fs1	7.01
6hti	7.01
6b2c	7.03
6hsk	7.03
6c0s	7.05
6f5h	7.05
6i3s	7.05
5mpn	7.07
6hrq	7.09
6b5j	7.1
6hm7	7.1
6ht1	7.11
6hth	7.12
6g2n	7.14
6afr	7.15
6f3e	7.15
6fgy	7.15
6ay5	7.16
6f3g	7.16
6g2l	7.17
6htg	7.17
6c7x	7.19
6c3e	7.2
6b30	7.22
5xmx	7.24
6cki	7.24
5lvx	7.25
6cz3	7.25
6db3	7.25
5zah	7.28
6dm8	7.28
5xva	7.29
6ckr	7.3
6db4	7.31
6ex1	7.31
6hvh	7.33
5ttg	7.34
6ck3	7.35
6d55	7.36
6e4a	7.36
6h1i	7.36
5lny	7.38
5zaj	7.38
6bl2	7.39
5oqw	7.4
6g9k	7.4
6fyz	7.41
6ed6	7.43
6ceh	7.44
5msb	7.46
5nlk	7.46
5ny3	7.47
6gin	7.49
5mwp	7.5
5za1	7.52
5yjb	7.54
6bbu	7.54
6hsh	7.55
6mrg	7.55
5wj6	7.57
5xst	7.57
6gla	7.57
5owc	7.59
6guh	7.59
6ary	7.6
6hjk	7.6
6gub	7.64
5wf5	7.65
6dk1	7.65
6bw2	7.68
6f3i	7.68
5xsr	7.69
5ni7	7.7
5ni8	7.7
6cn5	7.7
6f1x	7.7
6gbx	7.7
6m9t	7.7
5nib	7.72
5nyh	7.73
6c7g	7.74
5j6n	7.77
5uz0	7.8
5w0f	7.8
5y7z	7.81
6cks	7.82
5wf6	7.83
5fxq	7.85
5ny6	7.87
5hvu	7.89
5j6l	7.89
5olb	7.89
6ckx	7.89
5nut	7.92
6b5a	7.94
6en6	7.94
5xv7	7.96
6eqm	7.96
6gl3	7.96
6h3k	7.96
5nxp	7.99
5w0q	8.0
6ay3	8.02
5w6e	8.04
5fxs	8.05
5oci	8.05
5xvg	8.05
