PDBbind_hold_out_2019_subset_cpnd_name	PDBbind_hold_out_2019_subset_cpnd_affi	PDBbind_hold_out_2019_subset_cpnd_smiles	PDBbind_v18_subset_cpnd_name	PDBbind_v18_subset_cpnd_affi	PDBbind_v18_subset_cpnd_smiles	similarity
6f6i	3.19	Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1	4l9i	4.89	Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
6dq4	4.92	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	4ask	7.22	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	1.0
6gu2	5.8	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1	1e1y	5.6	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1.0
6gu2	5.8	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1	3blr	8.19	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1.0
5y86	6.1	COc1ccc2c(c1)[nH]c1c(C)nccc12	3anr	6.46	COc1ccc2c(c1)[nH]c1c(C)nccc12	1.0
6f92	6.4	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	2vmf	5.85	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	1.0
6fe0	6.48	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	4pyx	6.14	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	1.0
6fyp	6.84	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	5o11	6.67	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyp	6.84	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3nga	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyp	6.84	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3pe1	9.65	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6dm8	7.28	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cc(C(=O)O)cc4c2ccn4C)C3=O)cc(C)c1Cl	5if4	9.0	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cc(C(=O)O)cc4c2ccn4C)C3=O)cc(C)c1Cl	1.0
5msb	7.46	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	4hu1	7.54	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
5msb	7.46	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	4pzh	8.0	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
6gub	7.64	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1	1e1y	5.6	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1.0
6gub	7.64	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1	3blr	8.19	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1.0
5wf5	7.65	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	3qak	8.32	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	1.0
5y7z	7.81	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2ito	6.91	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y7z	7.81	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2ity	7.27	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y7z	7.81	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	3ug2	8.25	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y7z	7.81	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2itz	8.59	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5wf6	7.83	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	3qak	8.32	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	1.0
6en6	7.94	C[C@H]([NH2+][C@H](C(=O)O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])CC(=O)O)C(=O)N1CCC[C@H]1C(=O)O	6en5	7.94	C[C@H]([NH2+][C@H](C(=O)O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])CC(=O)O)C(=O)N1CCC[C@H]1C(=O)O	1.0
5xv7	7.96	CCc1cc2c(cc1N1CCC([NH+]3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	3aox	9.08	CCc1cc2c(cc1N1CCC([NH+]3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	1.0
6fyl	8.15	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	5o11	6.67	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyl	8.15	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3nga	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyl	8.15	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3pe1	9.65	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6aqf	8.67	Nc1nc(NCCc2ccc(O)cc2)nc2[nH]c(-c3ccco3)n[n+]12	5iu4	9.28	Nc1nc(NCCc2ccc(O)cc2)nc2[nH]c(-c3ccco3)n[n+]12	1.0
6gdg	8.74	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	5g53	6.37	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	1.0
6gdg	8.74	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	2ydv	7.86	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	1.0
5y80	8.79	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2ito	6.91	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y80	8.79	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2ity	7.27	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y80	8.79	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	3ug2	8.25	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
5y80	8.79	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	2itz	8.59	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1	1.0
6awn	9.2	Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1	4l9i	4.89	Fc1ccc([C@@H]2CC[NH2+]C[C@H]2COc2ccc3c(c2)OCO3)cc1	1.0
6bc9	9.43	CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	4m2w	7.28	CC[NH2+][C@H]1C[C@@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	1.0
6bc9	9.43	CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	3fw3	7.37	CC[NH2+][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	1.0
5llg	11.13	CCCSc1ccc(S(N)(=O)=O)cc1	4ww8	10.17	CCCSc1ccc(S(N)(=O)=O)cc1	1.0
