PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PDBbind_v18_subset_cpnd_name	PDBbind_v18_subset_cpnd_affi	PDBbind_v18_subset_cpnd_smiles	similarity
CHEMBL1163125_6c7r_CHEMBL4171228	8.698970004336019	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3ccnc4ccccc34)c12	5uoo	8.85	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3ccnc4ccccc34)c12	1.0
CHEMBL1163125_6ciy_CHEMBL4206831	4.4685210829577455	CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	5one	7.28	CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	1.0
CHEMBL1163125_6cj1_CHEMBL1673046	5.795880017344076	CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	5byy	7.01	CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	1.0
CHEMBL1163125_6fo5_CHEMBL3775058	5.7447274948966935	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(Cl)cc1	5eis	5.74	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(Cl)cc1	1.0
CHEMBL203_5x28_CHEMBL1950289	6.420216403383191	O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1	3tti	8.22	O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1	1.0
CHEMBL205_5llc_CHEMBL4085190	7.956820084662626	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	4qtl	6.92	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	1.0
CHEMBL205_5llc_CHEMBL4085190	7.956820084662626	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	4qjx	7.28	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	1.0
CHEMBL205_5llc_CHEMBL4085190	7.956820084662626	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	4qjw	7.8	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccccc2)c1F	1.0
CHEMBL205_5llg_CHEMBL106848	6.6837713539076375	NS(=O)(=O)c1ccc(SCCO)cc1	4wup	9.82	NS(=O)(=O)c1ccc(SCCO)cc1	1.0
CHEMBL205_6got_CHEMBL2333400	7.886056647693162	CCCSc1ccc(S(N)(=O)=O)cc1	4ww8	10.17	CCCSc1ccc(S(N)(=O)=O)cc1	1.0
