PDBbind_hold_out_2019_subset_cpnd_name	PDBbind_hold_out_2019_subset_cpnd_affi	PDBbind_hold_out_2019_subset_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
5w0l	4.74	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	CHEMBL1163125_5ku3_CHEMBL4076748	5.376750709602098	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	1.0
5w0l	4.74	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	CHEMBL5747_5ktx_CHEMBL4076748	8.439713034397075	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	1.0
6dq4	4.92	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	CHEMBL1938211_4ask_CHEMBL3188597	7.199970640755867	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	1.0
6eip	5.7	CN1C(=O)[C@H]2CCC[C@H]2N(C2CCCC2)c2nc(Nc3ccc(C(N)=O)cc3)ncc21	CHEMBL3024_4j52_CHEMBL3986079	7.744727494896692	CN1C(=O)[C@H]2CCC[C@H]2N(C2CCCC2)c2nc(Nc3ccc(C(N)=O)cc3)ncc21	1.0
5y86	6.1	COc1ccc2c(c1)[nH]c1c(C)nccc12	CHEMBL2292_3anr_CHEMBL269538	7.481486060122112	COc1ccc2c(c1)[nH]c1c(C)nccc12	1.0
6fmj	6.12	CC(=O)N[C@@H](C)C(=S)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1	CHEMBL3301400_4w9k_CHEMBL4228750	6.059593203859603	CC(=O)N[C@@H](C)C(=S)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1	1.0
6f92	6.4	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	CHEMBL4296293_2vot_CHEMBL1213397	3.901747167532156	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	1.0
6fe0	6.48	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	CHEMBL205_4pyx_CHEMBL3359179	6.040958607678906	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	1.0
6fe0	6.48	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	CHEMBL261_5e2m_CHEMBL3359179	4.3191360819912035	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	1.0
6fe0	6.48	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	CHEMBL3242_4q0l_CHEMBL3359179	6.638272163982407	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	1.0
5wzv	6.68	Cc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1-c1ccccc1	CHEMBL3474_1db5_CHEMBL357979	8.221848749616356	Cc1c(C(=O)C(N)=O)c2c(OCC(=O)O)cccc2n1Cc1ccccc1-c1ccccc1	1.0
6fo5	6.72	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(CNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1	CHEMBL1163125_5eis_CHEMBL4278778	6.721246399047171	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(CNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1	1.0
5uzj	6.78	COc1cccc(CC(=O)Nc2nc(-c3ccnc(N)c3)cs2)c1	CHEMBL3231_4yve_CHEMBL3581140	6.7760335672039105	COc1cccc(CC(=O)Nc2nc(-c3ccnc(N)c3)cs2)c1	1.0
6fyp	6.84	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL2147_5o11_CHEMBL1230165	5.907630300370879	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyp	6.84	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL3629_3pe1_CHEMBL1230165	9.250921944742199	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6gl9	6.87	N#C/C=C/c1cccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)c1	CHEMBL2148_5lwm_CHEMBL4129641	6.8696662315049934	N#C/C=C/c1cccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)c1	1.0
