PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
CHEMBL1163125_6boy_CHEMBL4577491	5.605548319173784	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCN)c1nnc(C)n1-2	CHEMBL1293289_2yek_CHEMBL4577491	7.795880017344076	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCN)c1nnc(C)n1-2	1.0
CHEMBL1163125_6cis_CHEMBL3959351	4.966576244513051	Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C	CHEMBL4722_5one_CHEMBL3959351	6.823908740944319	Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C	1.0
CHEMBL1163125_6cis_CHEMBL4207437	7.552841968657781	C[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	CHEMBL1163125_5kj0_CHEMBL4206381	7.229147988357855	C[C@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	1.0
CHEMBL1163125_6cis_CHEMBL4207437	7.552841968657781	C[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	CHEMBL3024_4j52_CHEMBL4206381	6.896196279044043	C[C@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	1.0
CHEMBL1163125_6cis_CHEMBL4207437	7.552841968657781	C[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	CHEMBL3024_4j52_CHEMBL4207437	7.3979400086720375	C[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	1.0
CHEMBL1163125_6cis_CHEMBL4209192	6.224753740259764	CCC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	CHEMBL3024_4j52_CHEMBL4209192	7.327902142064282	CCC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC3CCCC3)nc2N1C1CCCC1	1.0
CHEMBL1163125_6cis_CHEMBL4464826	7.091514981121351	CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](CC)C(=O)N2C	CHEMBL3024_4j52_CHEMBL4464826	7.920818753952375	CCOc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)[C@H](CC)C(=O)N2C	1.0
CHEMBL1163125_6ciy_CHEMBL3969370	4.431798275933005	C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	CHEMBL4722_5one_CHEMBL3969370	7.356547323513813	C=CC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	1.0
CHEMBL1163125_6ciy_CHEMBL3979343	5.221848749616356	C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	CHEMBL4722_5one_CHEMBL3979343	7.229147988357855	C=CC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	1.0
CHEMBL1163125_6ciy_CHEMBL4206831	4.4685210829577455	CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	CHEMBL4722_5one_CHEMBL4206831	7.2839966563652006	CCC(=O)Nc1ccc(C(=O)Nc2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)cc1	1.0
CHEMBL1163125_6cj1_CHEMBL1673046	5.795880017344076	CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	CHEMBL5332_5byy_CHEMBL1673046	7.096910013008057	CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	1.0
CHEMBL1163125_6cj1_CHEMBL3942643	4.72584215073632	CCC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	CHEMBL4722_5one_CHEMBL3942643	6.9586073148417755	CCC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1	1.0
CHEMBL1163125_6cj1_CHEMBL4541479	5.443697499232711	CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(S(C)(=O)=O)c1ccccc1C(=O)N2C	CHEMBL5332_5byy_CHEMBL4541479	7.698970004336019	CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(S(C)(=O)=O)c1ccccc1C(=O)N2C	1.0
CHEMBL1795116_6ckc_CHEMBL2349526	5.939302159646387	Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	CHEMBL1795117_3sr4_CHEMBL2349526	7.420216403383191	Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	1.0
CHEMBL1795116_6ckc_CHEMBL4588797	5.619788758288393	N#Cc1cn([C@@H]2O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]2O)c2ncnc(N)c12	CHEMBL1795117_3sr4_CHEMBL4588797	7.735541649861172	N#Cc1cn([C@@H]2O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]2O)c2ncnc(N)c12	1.0
CHEMBL1833_6dry_CHEMBL137781	7.356547323513813	C[C@H]1C[C@@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	CHEMBL1833_5tvn_CHEMBL343755	7.568636235841013	C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	1.0
