unique_identify	-logAffi
CHEMBL1075026_1swr_CHEMBL857	14.0
CHEMBL1075027_1hp5_CHEMBL257158	4.698970004336019
CHEMBL1075027_1hp5_CHEMBL403756	4.0
CHEMBL1075027_1hp5_CHEMBL404356	3.6989700043360187
CHEMBL1075027_1jak_CHEMBL253537	4.6777807052660805
CHEMBL1075040_2o3z_CHEMBL1161944	5.638272163982407
CHEMBL1075040_2o3z_CHEMBL1161946	5.045757490560675
CHEMBL1075040_2o3z_CHEMBL1161947	5.0655015487564325
CHEMBL1075040_2o3z_CHEMBL1161949	5.698970004336019
CHEMBL1075041_4je7_CHEMBL308333	7.568636235841013
CHEMBL1075045_3h26_CHEMBL567987	3.5697636465884894
CHEMBL1075045_3h2f_CHEMBL577547	5.279014255846261
CHEMBL1075045_3h2f_CHEMBL577755	4.06198090252379
CHEMBL1075045_3h2f_CHEMBL578135	3.6675615400843946
CHEMBL1075045_3h2o_CHEMBL576455	4.059981844992337
CHEMBL1075045_4daf_CHEMBL3219803	4.958607314841775
CHEMBL1075053_1gx8_CHEMBL986	7.443697499232712
CHEMBL1075067_2v00_CHEMBL235821	3.657577319177794
CHEMBL1075088_3iqg_CHEMBL568900	4.600000074606178
CHEMBL1075088_3iqh_CHEMBL568828	4.589999963296594
CHEMBL1075088_3iqh_CHEMBL568986	4.219999989963101
CHEMBL1075088_3iqh_CHEMBL568987	3.720000004094201
CHEMBL1075088_3iqi_CHEMBL568812	2.990000000967972
CHEMBL1075088_3iqi_CHEMBL569308	4.41000005022751
CHEMBL1075088_3iqi_CHEMBL569309	1.87999999985386
CHEMBL1075088_3iqi_CHEMBL570451	1.8200000001251635
CHEMBL1075088_3iqi_CHEMBL571766	3.239999997990306
CHEMBL1075088_3iqi_CHEMBL571997	4.360000032076103
CHEMBL1075088_3iqi_CHEMBL576268	2.6400000005247044
CHEMBL1075088_3iqi_CHEMBL585737	2.470000000178415
CHEMBL1075097_3kv2_CHEMBL1234777	7.327902142064283
CHEMBL1075097_3lp4_CHEMBL1834160	4.221848749616356
CHEMBL1075097_3mfv_CHEMBL1099168	2.5228787452803374
CHEMBL1075097_3mfw_CHEMBL1099167	3.5228787452803374
CHEMBL1075097_3mjl_CHEMBL291627	2.4436974992327127
CHEMBL1075127_3gt9_CHEMBL1090770	3.795880017344075
CHEMBL1075127_3gt9_CHEMBL1090867	4.167491087293763
CHEMBL1075127_3gt9_CHEMBL1091216	4.161150909262744
CHEMBL1075127_3gt9_CHEMBL1092184	3.795880017344075
CHEMBL1075127_3gt9_CHEMBL1092185	3.853871964321762
CHEMBL1075127_3gt9_CHEMBL1093598	3.853871964321762
CHEMBL1075127_3gt9_CHEMBL1094001	3.886056647693163
CHEMBL1075127_3gta_CHEMBL1089012	2.9208187539523753
CHEMBL1075127_3gta_CHEMBL1089023	4.167491087293763
CHEMBL1075127_3gta_CHEMBL1089024	4.3979400086720375
CHEMBL1075127_3gta_CHEMBL1089398	4.346787486224656
CHEMBL1075127_3gta_CHEMBL1089693	3.6989700043360187
CHEMBL1075127_3gta_CHEMBL1089694	3.337242168318426
CHEMBL1075127_3gta_CHEMBL1089695	3.136677139879544
CHEMBL1075127_3gta_CHEMBL1090431	3.886056647693163
CHEMBL1075127_3gta_CHEMBL1090866	3.9208187539523753
CHEMBL1075127_3gta_CHEMBL1091044	3.958607314841775
CHEMBL1075127_3gta_CHEMBL1091045	4.0
CHEMBL1075127_3gta_CHEMBL1091215	3.677780705266081
CHEMBL1075127_3gta_CHEMBL1091442	3.886056647693163
CHEMBL1075127_3gta_CHEMBL1091453	4.619788758288394
CHEMBL1075127_3gta_CHEMBL1091484	4.167491087293763
CHEMBL1075127_3gta_CHEMBL1091485	3.886056647693163
CHEMBL1075127_3gta_CHEMBL1091762	3.657577319177794
CHEMBL1075127_3gta_CHEMBL1092172	2.5686362358410126
CHEMBL1075127_3gta_CHEMBL1092173	2.5528419686577806
CHEMBL1075127_3gta_CHEMBL1092174	3.1487416512809245
CHEMBL1075127_3gta_CHEMBL1092759	4.356547323513812
CHEMBL1075127_3gta_CHEMBL1092760	4.443697499232712
CHEMBL1075127_3gta_CHEMBL1092761	4.309803919971486
CHEMBL1075127_3gta_CHEMBL1093339	4.275724130399211
CHEMBL1075127_3gta_CHEMBL1093356	4.494850021680094
CHEMBL1075127_3gta_CHEMBL1093691	3.744727494896694
CHEMBL1075127_3gta_CHEMBL1093692	3.6989700043360187
CHEMBL1075127_3gta_CHEMBL1093708	3.853871964321762
CHEMBL1075127_3uw5_CHEMBL2063869	7.853871964321762
CHEMBL1075132_5y3n_CHEMBL4068596	7.102372908709558
CHEMBL1075132_5y3n_CHEMBL4095912	5.19825338078054
CHEMBL1075132_5y3o_CHEMBL4080323	6.860120913598763
CHEMBL1075152_4ly9_CHEMBL3113979	7.6777807052660805
CHEMBL1075152_4ly9_CHEMBL3127340	5.714442690992226
CHEMBL1075152_4ly9_CHEMBL3127341	6.070581074285707
CHEMBL1075152_4ly9_CHEMBL3127342	5.910094888560602
CHEMBL1075152_4ly9_CHEMBL3127344	5.3655227298392685
CHEMBL1075152_4ly9_CHEMBL3127345	5.806875401645538
CHEMBL1075152_4ly9_CHEMBL3127346	5.823908740944319
CHEMBL1075152_4ly9_CHEMBL3127347	7.236572006437063
CHEMBL1075152_4ly9_CHEMBL3127348	7.443697499232712
CHEMBL1075152_4ly9_CHEMBL3127349	8.013228265733755
CHEMBL1075152_4ly9_CHEMBL3127350	7.022276394711152
CHEMBL1075152_4ly9_CHEMBL3127351	7.0
CHEMBL1075152_4ly9_CHEMBL3127352	7.920818753952375
CHEMBL1075152_4ly9_CHEMBL3127360	6.154281982033341
CHEMBL1075152_4ly9_CHEMBL3127361	6.667561540084395
CHEMBL1075152_4mqu_CHEMBL3114187	8.045757490560675
