pdb_id	-logAffi
5qc4	6.82
5tjx	6.82
5vcv	6.82
5w8i	6.82
5w9g	6.82
5wev	6.82
5ylv	6.82
6apz	6.82
6bgy	6.82
1htf	6.83
1tze	6.83
2gnh	6.83
2xnb	6.83
3deh	6.83
3kvx	6.83
3zo4	6.83
4bcq	6.83
4o91	6.83
4u91	6.83
1bhx	6.84
1me4	6.84
2hxq	6.84
2y5g	6.84
3du8	6.84
3ewj	6.84
3lco	6.84
3qio	6.84
4kn1	6.84
4l0s	6.84
4l32	6.84
4pul	6.84
5cep	6.84
5cnj	6.84
5ezz	6.84
5mae	6.84
5mi3	6.84
5uis	6.84
6csr	6.84
6fr0	6.84
6fyp	6.84
1bap	6.85
1ele	6.85
1g30	6.85
1h3b	6.85
1lkk	6.85
1os5	6.85
1q72	6.85
1qyg	6.85
1rv1	6.85
1sqc	6.85
1tvo	6.85
1xk9	6.85
1xt8	6.85
1yw2	6.85
2axi	6.85
2cbr	6.85
2fjm	6.85
2iw6	6.85
2vgp	6.85
2vto	6.85
2vtq	6.85
2yc3	6.85
3emh	6.85
3f5p	6.85
3g42	6.85
3h3c	6.85
3iet	6.85
3n76	6.85
3pn4	6.85
3pz3	6.85
3qo2	6.85
3rul	6.85
3s8o	6.85
3voz	6.85
3wcg	6.85
4b8p	6.85
4d85	6.85
4g16	6.85
4gye	6.85
4hki	6.85
4k3h	6.85
4nzm	6.85
4ool	6.85
4qtn	6.85
4tkg	6.85
4w9q	6.85
4x9w	6.85
4ybm	6.85
5d7c	6.85
5div	6.85
5f1v	6.85
5g1c	6.85
5ie1	6.85
5j64	6.85
5teg	6.85
5tz3	6.85
6d5e	6.85
6eox	6.85
6fnj	6.85
6fqo	6.85
6iiv	6.85
2vd1	6.86
3aid	6.86
3pyy	6.86
5dx4	6.86
5f3e	6.86
5fh7	6.86
5mzg	6.86
5y3o	6.86
6ee3	6.86
1cgl	6.87
2zcr	6.87
3c94	6.87
3mo5	6.87
3qin	6.87
3tmk	6.87
4mhz	6.87
4re4	6.87
4rvr	6.87
4x1s	6.87
5j0d	6.87
5nih	6.87
5vr8	6.87
6cis	6.87
6gl9	6.87
1i3z	6.88
1xka	6.88
2c6n	6.88
3oe5	6.88
3u3u	6.88
4bco	6.88
4j4n	6.88
4k43	6.88
4n4s	6.88
4ui3	6.88
4uvc	6.88
4wvl	6.88
5tci	6.88
5xgl	6.88
5z99	6.88
6el5	6.88
1b3f	6.89
1fh8	6.89
1jev	6.89
1qhr	6.89
1sb1	6.89
1uz1	6.89
1v0p	6.89
1vr1	6.89
1wqv	6.89
2bfq	6.89
2dri	6.89
2e92	6.89
2f34	6.89
2gvz	6.89
2iu0	6.89
2jnp	6.89
2r3w	6.89
2vk2	6.89
2wks	6.89
2x38	6.89
2xu5	6.89
2y57	6.89
2yiu	6.89
2ym7	6.89
2yol	6.89
3f0r	6.89
3fvg	6.89
3hu1	6.89
3hu3	6.89
3jya	6.89
3kvw	6.89
3ljt	6.89
3psl	6.89
3py0	6.89
3py1	6.89
3qip	6.89
3r4n	6.89
3rak	6.89
3vsw	6.89
3zrk	6.89
3zrm	6.89
4al4	6.89
4awk	6.89
4bo4	6.89
4dvf	6.89
4g4p	6.89
4hn2	6.89
4o76	6.89
4op1	6.89
4x8v	6.89
4yik	6.89
4yw7	6.89
4zuq	6.89
5ee8	6.89
5ewj	6.89
5f67	6.89
5h4j	6.89
5he2	6.89
5hfu	6.89
5j5r	6.89
5jic	6.89
5kj0	6.89
5l2m	6.89
5x9p	6.89
5yg2	6.89
6glb	6.89
1k1l	6.9
2hwo	6.9
2p3g	6.9
2w6n	6.9
3cow	6.9
3dy6	6.9
3gbb	6.9
3qo3	6.9
3uyr	6.9
4fz6	6.9
4j4o	6.9
