unique_identify	-logAffi
CHEMBL1075026_1df8_CHEMBL857	14.0
CHEMBL1075026_1n43_CHEMBL857	14.0
CHEMBL1075026_1n9m_CHEMBL857	14.0
CHEMBL1075026_1ndj_CHEMBL857	14.0
CHEMBL1075026_1stp_CHEMBL857	14.0
CHEMBL1075026_1swg_CHEMBL857	14.0
CHEMBL1075026_1swk_CHEMBL857	14.0
CHEMBL1075026_1swn_CHEMBL857	14.0
CHEMBL1075026_1swp_CHEMBL857	14.0
CHEMBL1075026_1swr_CHEMBL857	14.0
CHEMBL1075026_2f01_CHEMBL857	14.0
CHEMBL1075026_2gh7_CHEMBL857	14.0
CHEMBL1075026_2izl_CHEMBL857	14.0
CHEMBL1075026_3wzn_CHEMBL857	14.0
CHEMBL1075026_3wzp_CHEMBL857	14.0
CHEMBL1075026_3wzq_CHEMBL857	14.0
CHEMBL1075026_3x00_CHEMBL857	14.0
CHEMBL1075027_1hp5_CHEMBL257158	4.698970004336019
CHEMBL1075027_1hp5_CHEMBL403756	4.0
CHEMBL1075027_1hp5_CHEMBL404356	3.6989700043360187
CHEMBL1075027_1jak_CHEMBL253537	4.6777807052660805
CHEMBL1075040_2o3z_CHEMBL1161944	5.638272163982407
CHEMBL1075040_2o3z_CHEMBL1161946	5.045757490560675
CHEMBL1075040_2o3z_CHEMBL1161947	5.0655015487564325
CHEMBL1075040_2o3z_CHEMBL1161949	5.698970004336019
CHEMBL1075041_4je7_CHEMBL308333	7.568636235841013
CHEMBL1075045_3h26_CHEMBL567987	3.5697636465884894
CHEMBL1075045_3h2f_CHEMBL577547	5.279014255846261
CHEMBL1075045_3h2f_CHEMBL577755	4.06198090252379
CHEMBL1075045_3h2f_CHEMBL578135	3.6675615400843946
CHEMBL1075045_3h2o_CHEMBL576455	4.059981844992337
CHEMBL1075045_4daf_CHEMBL3219803	4.958607314841775
CHEMBL1075053_1gx8_CHEMBL986	7.443697499232712
CHEMBL1075067_2v00_CHEMBL235821	3.657577319177794
CHEMBL1075088_3iqg_CHEMBL568900	4.600000074606178
CHEMBL1075088_3iqh_CHEMBL568812	2.990000000967972
CHEMBL1075088_3iqh_CHEMBL568828	4.589999963296594
CHEMBL1075088_3iqh_CHEMBL568986	4.219999989963101
CHEMBL1075088_3iqh_CHEMBL568987	3.720000004094201
CHEMBL1075088_3iqi_CHEMBL568812	2.990000000967972
CHEMBL1075088_3iqi_CHEMBL569308	4.41000005022751
CHEMBL1075088_3iqi_CHEMBL569309	1.87999999985386
CHEMBL1075088_3iqi_CHEMBL570451	1.8200000001251635
