unique_identify	-logAffi
CHEMBL236_4n6h_CHEMBL317269	7.669586226650809
CHEMBL236_4n6h_CHEMBL317536	7.795880017344075
CHEMBL236_4n6h_CHEMBL318636	9.148741651280925
CHEMBL236_4n6h_CHEMBL318957	6.585026652029182
CHEMBL236_4n6h_CHEMBL319589	5.468521082957745
CHEMBL236_4n6h_CHEMBL319592	6.6777807052660805
CHEMBL236_4n6h_CHEMBL320306	7.0835460514500745
CHEMBL236_4n6h_CHEMBL321170	7.061480274823508
CHEMBL236_4n6h_CHEMBL321408	8.614393726401687
CHEMBL236_4n6h_CHEMBL3216476	9.161150909262744
CHEMBL236_4n6h_CHEMBL3216936	8.97469413473523
CHEMBL236_4n6h_CHEMBL322195	7.376750709602099
CHEMBL236_4n6h_CHEMBL322796	7.213958789757446
CHEMBL236_4n6h_CHEMBL322875	7.289036881004725
CHEMBL236_4n6h_CHEMBL323398	8.647817481888637
CHEMBL236_4n6h_CHEMBL323430	7.586700235918748
CHEMBL236_4n6h_CHEMBL323726	7.696803942579511
CHEMBL236_4n6h_CHEMBL323987	7.662341108973858
CHEMBL236_4n6h_CHEMBL324644	8.115204636051018
CHEMBL236_4n6h_CHEMBL325347	8.101823516502323
CHEMBL236_4n6h_CHEMBL3262088	9.065501548756432
CHEMBL236_4n6h_CHEMBL3262089	8.721246399047171
CHEMBL236_4n6h_CHEMBL3262090	8.585026652029182
CHEMBL236_4n6h_CHEMBL3262091	9.096910013008056
CHEMBL236_4n6h_CHEMBL3262092	8.886056647693163
CHEMBL236_4n6h_CHEMBL3262093	8.494850021680094
CHEMBL236_4n6h_CHEMBL3262361	8.920818753952375
CHEMBL236_4n6h_CHEMBL3262362	8.920818753952375
CHEMBL236_4n6h_CHEMBL3264742	8.812479279163536
CHEMBL236_4n6h_CHEMBL3264743	6.85078088734462
CHEMBL236_4n6h_CHEMBL3264744	6.853871964321762
CHEMBL236_4n6h_CHEMBL3264745	8.698970004336019
CHEMBL236_4n6h_CHEMBL3264747	9.4089353929735
CHEMBL236_4n6h_CHEMBL3264748	9.207608310501746
CHEMBL236_4n6h_CHEMBL326684	7.789741584385691
CHEMBL236_4n6h_CHEMBL326860	5.792365632611038
CHEMBL236_4n6h_CHEMBL326875	7.417709317281006
CHEMBL236_4n6h_CHEMBL327111	6.172630726946175
CHEMBL236_4n6h_CHEMBL3291215	8.67778070526608
CHEMBL236_4n6h_CHEMBL329719	8.086186147616283
CHEMBL236_4n6h_CHEMBL3309264	8.991399828238082
CHEMBL236_4n6h_CHEMBL3309507	9.036212172654444
CHEMBL236_4n6h_CHEMBL3309510	8.54515513999149
CHEMBL236_4n6h_CHEMBL3309511	9.070581074285707
CHEMBL236_4n6h_CHEMBL3309512	8.801342913045577
CHEMBL236_4n6h_CHEMBL3309513	9.154901959985743
CHEMBL236_4n6h_CHEMBL3309514	8.623423042943488
CHEMBL236_4n6h_CHEMBL3309515	9.443697499232712
CHEMBL236_4n6h_CHEMBL3309518	9.55284196865778
CHEMBL236_4n6h_CHEMBL332947	7.721475035262983
CHEMBL236_4n6h_CHEMBL3339378	8.769551078621726
CHEMBL236_4n6h_CHEMBL333959	5.619788758288394
CHEMBL236_4n6h_CHEMBL334715	9.938400962484
CHEMBL236_4n6h_CHEMBL334970	9.620544053801012
CHEMBL236_4n6h_CHEMBL3350127	7.0
CHEMBL236_4n6h_CHEMBL3350133	6.958607314841775
CHEMBL236_4n6h_CHEMBL3350134	6.698970004336019
CHEMBL236_4n6h_CHEMBL3350135	7.0655015487564325
CHEMBL236_4n6h_CHEMBL3350139	6.154901959985743
CHEMBL236_4n6h_CHEMBL3357966	7.085656842880559
CHEMBL236_4n6h_CHEMBL3357967	8.0
CHEMBL236_4n6h_CHEMBL335936	9.323908740944319
CHEMBL236_4n6h_CHEMBL344000	6.029188389127482
CHEMBL236_4n6h_CHEMBL345208	8.744727494896694
CHEMBL236_4n6h_CHEMBL346165	9.397940008672037
CHEMBL236_4n6h_CHEMBL34663	8.318758762624412
CHEMBL236_4n6h_CHEMBL346879	7.863279432843593
CHEMBL236_4n6h_CHEMBL347674	7.6777807052660805
CHEMBL236_4n6h_CHEMBL348011	8.187086643357144
CHEMBL236_4n6h_CHEMBL348268	7.761953896871204
CHEMBL236_4n6h_CHEMBL349636	8.920818753952375
CHEMBL236_4n6h_CHEMBL349940	7.769551078621726
CHEMBL236_4n6h_CHEMBL352224	7.455931955649724
CHEMBL236_4n6h_CHEMBL353736	7.934793871945688
CHEMBL236_4n6h_CHEMBL353876	9.096910013008056
CHEMBL236_4n6h_CHEMBL353930	7.995678626217358
CHEMBL236_4n6h_CHEMBL355296	8.886056647693163
CHEMBL236_4n6h_CHEMBL356186	6.492144128304169
CHEMBL236_4n6h_CHEMBL358043	7.181774106386045
CHEMBL236_4n6h_CHEMBL3596363	8.567030709125595
CHEMBL236_4n6h_CHEMBL3596364	8.954677021213342
CHEMBL236_4n6h_CHEMBL3596365	8.712198270069774
CHEMBL236_4n6h_CHEMBL3596366	7.809668301829708
CHEMBL236_4n6h_CHEMBL3596367	6.872895201635193
CHEMBL236_4n6h_CHEMBL3596368	8.051098239029786
CHEMBL236_4n6h_CHEMBL3596369	8.557520230935552
CHEMBL236_4n6h_CHEMBL3596370	8.25336580106242
CHEMBL236_4n6h_CHEMBL3596371	7.739928612014925
CHEMBL236_4n6h_CHEMBL3596372	7.422508200162775
CHEMBL236_4n6h_CHEMBL366520	6.55129368009492
CHEMBL236_4n6h_CHEMBL3667191	6.309803919971486
CHEMBL236_4n6h_CHEMBL367290	7.721246399047171
CHEMBL236_4n6h_CHEMBL367497	9.585026652029182
CHEMBL236_4n6h_CHEMBL3678964	6.7573840424307345
CHEMBL236_4n6h_CHEMBL3678965	7.34428545038129
CHEMBL236_4n6h_CHEMBL3678966	6.961022377667308
CHEMBL236_4n6h_CHEMBL3678967	7.725380380908762
CHEMBL236_4n6h_CHEMBL3678971	6.7144651938799695
CHEMBL236_4n6h_CHEMBL3678975	6.695638745774692
CHEMBL236_4n6h_CHEMBL3679612	8.008773924307505
CHEMBL236_4n6h_CHEMBL367962	9.259637310505756
