unique_identify	-logAffi
CHEMBL248_5a8z_CHEMBL3908244	7.90135972093719
CHEMBL248_5a8z_CHEMBL3908475	9.0
CHEMBL248_5a8z_CHEMBL3908698	7.619788758288394
CHEMBL248_5a8z_CHEMBL3908888	8.958607314841775
CHEMBL248_5a8z_CHEMBL3909102	8.657577319177793
CHEMBL248_5a8z_CHEMBL3909666	8.853871964321762
CHEMBL248_5a8z_CHEMBL3909784	8.853871964321762
CHEMBL248_5a8z_CHEMBL3909800	8.795880017344075
CHEMBL248_5a8z_CHEMBL3910007	7.962573502059376
CHEMBL248_5a8z_CHEMBL3910111	9.0
CHEMBL248_5a8z_CHEMBL3910255	9.0
CHEMBL248_5a8z_CHEMBL3910290	8.443697499232712
CHEMBL248_5a8z_CHEMBL3910335	8.18045606445813
CHEMBL248_5a8z_CHEMBL3910865	9.0
CHEMBL248_5a8z_CHEMBL3910942	9.0
CHEMBL248_5a8z_CHEMBL3911026	8.292429823902063
CHEMBL248_5a8z_CHEMBL3911289	8.193820026016112
CHEMBL248_5a8z_CHEMBL3911341	9.0
CHEMBL248_5a8z_CHEMBL3911507	9.0
CHEMBL248_5a8z_CHEMBL3911647	6.761201437286083
CHEMBL248_5a8z_CHEMBL3911686	9.0
CHEMBL248_5a8z_CHEMBL3912018	9.522878745280337
CHEMBL248_5a8z_CHEMBL3912052	8.886056647693163
CHEMBL248_5a8z_CHEMBL3912069	8.148741651280925
CHEMBL248_5a8z_CHEMBL3912078	9.0
CHEMBL248_5a8z_CHEMBL3912107	7.804100347590766
CHEMBL248_5a8z_CHEMBL3912628	8.853871964321762
CHEMBL248_5a8z_CHEMBL3912644	7.636388020107856
CHEMBL248_5a8z_CHEMBL3913425	7.920818753952375
CHEMBL248_5a8z_CHEMBL3913671	8.481486060122112
CHEMBL248_5a8z_CHEMBL3914071	8.522878745280337
CHEMBL248_5a8z_CHEMBL3914202	8.508638306165727
CHEMBL248_5a8z_CHEMBL3914740	9.0
CHEMBL248_5a8z_CHEMBL3915713	8.301029995663981
CHEMBL248_5a8z_CHEMBL3915803	9.0
CHEMBL248_5a8z_CHEMBL3915891	8.853871964321762
CHEMBL248_5a8z_CHEMBL3915980	8.013228265733755
CHEMBL248_5a8z_CHEMBL3916264	9.0
CHEMBL248_5a8z_CHEMBL3916368	8.42021640338319
CHEMBL248_5a8z_CHEMBL3916431	7.467245621007502
CHEMBL248_5a8z_CHEMBL3917044	8.327902142064282
CHEMBL248_5a8z_CHEMBL3917211	9.0
CHEMBL248_5a8z_CHEMBL3917331	8.55284196865778
CHEMBL248_5a8z_CHEMBL3917443	9.0
CHEMBL248_5a8z_CHEMBL3917471	8.721246399047171
CHEMBL248_5a8z_CHEMBL3917492	8.327902142064282
CHEMBL248_5a8z_CHEMBL3917583	9.0
CHEMBL248_5a8z_CHEMBL3917584	8.744727494896694
CHEMBL248_5a8z_CHEMBL3917611	6.960585880823863
CHEMBL248_5a8z_CHEMBL3917643	8.05551732784983
CHEMBL248_5a8z_CHEMBL3917656	7.3872161432802645
CHEMBL248_5a8z_CHEMBL3917849	9.0
CHEMBL248_5a8z_CHEMBL3917970	9.0
CHEMBL248_5a8z_CHEMBL3918079	8.657577319177793
CHEMBL248_5a8z_CHEMBL3918453	9.0
CHEMBL248_5a8z_CHEMBL3918926	7.804100347590766
CHEMBL248_5a8z_CHEMBL3919083	8.769551078621726
CHEMBL248_5a8z_CHEMBL3919316	8.853871964321762
CHEMBL248_5a8z_CHEMBL3919560	9.0
CHEMBL248_5a8z_CHEMBL3919852	7.673664139071248
CHEMBL248_5a8z_CHEMBL3919916	8.823908740944319
CHEMBL248_5a8z_CHEMBL3920271	7.393618634889395
CHEMBL248_5a8z_CHEMBL3920287	8.568636235841012
CHEMBL248_5a8z_CHEMBL3920706	9.0
CHEMBL248_5a8z_CHEMBL3920727	9.0
CHEMBL248_5a8z_CHEMBL3920985	7.6020599913279625
CHEMBL248_5a8z_CHEMBL3921090	7.790484985457369
CHEMBL248_5a8z_CHEMBL3921101	9.0
CHEMBL248_5a8z_CHEMBL3921511	9.0
CHEMBL248_5a8z_CHEMBL3921937	8.698970004336019
CHEMBL248_5a8z_CHEMBL3922232	8.886056647693163
CHEMBL248_5a8z_CHEMBL3922247	8.522878745280337
CHEMBL248_5a8z_CHEMBL3922485	8.142667503568731
CHEMBL248_5a8z_CHEMBL3922775	8.744727494896694
CHEMBL248_5a8z_CHEMBL3922795	8.853871964321762
CHEMBL248_5a8z_CHEMBL3922883	9.0
CHEMBL248_5a8z_CHEMBL3923264	8.455931955649724
CHEMBL248_5a8z_CHEMBL3923288	8.346787486224656
CHEMBL248_5a8z_CHEMBL3923328	7.950781977329818
CHEMBL248_5a8z_CHEMBL3923403	9.0
CHEMBL248_5a8z_CHEMBL3923744	8.958607314841775
CHEMBL248_5a8z_CHEMBL3924349	7.801342913045577
CHEMBL248_5a8z_CHEMBL3924499	8.318758762624412
CHEMBL248_5a8z_CHEMBL3924681	9.0
CHEMBL248_5a8z_CHEMBL3924776	8.55284196865778
CHEMBL248_5a8z_CHEMBL3925091	9.0
CHEMBL248_5a8z_CHEMBL3925117	9.0
CHEMBL248_5a8z_CHEMBL3925766	8.657577319177793
CHEMBL248_5a8z_CHEMBL3926096	8.920818753952375
CHEMBL248_5a8z_CHEMBL3926170	9.0
CHEMBL248_5a8z_CHEMBL3926218	9.0
CHEMBL248_5a8z_CHEMBL3926241	8.494850021680094
CHEMBL248_5a8z_CHEMBL3926343	8.494850021680094
CHEMBL248_5a8z_CHEMBL3926400	8.958607314841775
CHEMBL248_5a8z_CHEMBL3926467	8.136677139879543
CHEMBL248_5a8z_CHEMBL3926529	8.958607314841775
CHEMBL248_5a8z_CHEMBL3926578	7.180456064458132
CHEMBL248_5a8z_CHEMBL3926599	8.958607314841775
CHEMBL248_5a8z_CHEMBL3926710	8.920818753952375
CHEMBL248_5a8z_CHEMBL3926771	8.05551732784983
CHEMBL248_5a8z_CHEMBL3927026	8.920818753952375
CHEMBL248_5a8z_CHEMBL3927141	8.4089353929735
CHEMBL248_5a8z_CHEMBL3927892	8.721246399047171
CHEMBL248_5a8z_CHEMBL3928282	8.4089353929735
CHEMBL248_5a8z_CHEMBL3928409	8.292429823902063
CHEMBL248_5a8z_CHEMBL3928446	9.0
CHEMBL248_5a8z_CHEMBL3928751	8.337242168318426
CHEMBL248_5a8z_CHEMBL3929258	5.467245621007502
CHEMBL248_5a8z_CHEMBL3929669	9.0
CHEMBL248_5a8z_CHEMBL3929671	8.958607314841775
CHEMBL248_5a8z_CHEMBL3929743	9.0
CHEMBL248_5a8z_CHEMBL3930098	6.987162775294828
CHEMBL248_5a8z_CHEMBL3930196	9.0
CHEMBL248_5a8z_CHEMBL3930884	7.962573502059376
CHEMBL248_5a8z_CHEMBL3930979	8.522878745280337
CHEMBL248_5a8z_CHEMBL3931166	6.995678626217358
CHEMBL248_5a8z_CHEMBL3931391	9.0
CHEMBL248_5a8z_CHEMBL3931400	8.585026652029182
CHEMBL248_5a8z_CHEMBL3931732	9.0
CHEMBL248_5a8z_CHEMBL3932212	9.0
CHEMBL248_5a8z_CHEMBL3932234	9.0
CHEMBL248_5a8z_CHEMBL3932348	9.0
CHEMBL248_5a8z_CHEMBL3932398	8.218437519830978
CHEMBL248_5a8z_CHEMBL3932751	9.0
CHEMBL248_5a8z_CHEMBL3932947	7.774690718274137
