unique_identify	-logAffi
CHEMBL335_2h4k_CHEMBL212232	6.221848749616356
CHEMBL335_2h4k_CHEMBL212285	5.6020599913279625
CHEMBL335_2h4k_CHEMBL212335	5.795880017344075
CHEMBL335_2h4k_CHEMBL213662	6.0
CHEMBL335_2h4k_CHEMBL213758	5.494850021680094
CHEMBL335_2h4k_CHEMBL214378	6.126838617455023
CHEMBL335_2h4k_CHEMBL214502	6.522878745280337
CHEMBL335_2h4k_CHEMBL214794	6.130768280269024
CHEMBL335_2h4k_CHEMBL214911	6.301029995663981
CHEMBL335_2h4k_CHEMBL214912	6.6020599913279625
CHEMBL335_2h4k_CHEMBL215242	5.481486060122113
CHEMBL335_2h4k_CHEMBL215243	5.301029995663981
CHEMBL335_2h4k_CHEMBL215335	6.799299729609228
CHEMBL335_2h4k_CHEMBL215656	5.3979400086720375
CHEMBL335_2h4k_CHEMBL230325	8.154901959985743
CHEMBL335_2h4k_CHEMBL230543	7.886056647693163
CHEMBL335_2h4k_CHEMBL230643	7.42021640338319
CHEMBL335_2h4k_CHEMBL230645	8.301029995663981
CHEMBL335_2h4k_CHEMBL230752	8.221848749616356
CHEMBL335_2h4k_CHEMBL230860	8.698970004336019
CHEMBL335_2h4k_CHEMBL243267	8.522878745280337
CHEMBL335_2h4k_CHEMBL243268	8.522878745280337
CHEMBL335_2h4k_CHEMBL243508	5.769551078621726
CHEMBL335_2h4k_CHEMBL243509	5.698970004336019
CHEMBL335_2h4k_CHEMBL243510	5.6777807052660805
CHEMBL335_2h4k_CHEMBL243730	5.698970004336019
CHEMBL335_2h4k_CHEMBL243731	6.327902142064283
CHEMBL335_2h4k_CHEMBL243732	6.698970004336019
CHEMBL335_2h4k_CHEMBL243940	6.6777807052660805
CHEMBL335_2h4k_CHEMBL243941	6.920818753952375
CHEMBL335_2h4k_CHEMBL243942	7.514362075630947
CHEMBL335_2h4k_CHEMBL244146	5.42021640338319
CHEMBL335_2h4k_CHEMBL244147	6.4089353929735005
CHEMBL335_2h4k_CHEMBL244148	7.356547323513812
CHEMBL335_2h4k_CHEMBL244360	7.259637310505756
CHEMBL335_2h4k_CHEMBL244564	7.619788758288394
CHEMBL335_2h4k_CHEMBL373883	5.853871964321762
CHEMBL335_2h4k_CHEMBL379196	5.522878745280337
CHEMBL335_2h4k_CHEMBL383882	6.698970004336019
CHEMBL335_2h4k_CHEMBL383967	6.2441251443275085
CHEMBL335_2h4k_CHEMBL385276	6.0
CHEMBL335_2h4k_CHEMBL385896	5.522878745280337
CHEMBL335_2h4k_CHEMBL386616	6.443697499232712
CHEMBL335_2h4k_CHEMBL387242	6.2076083105017466
CHEMBL335_2h4k_CHEMBL387614	8.397940008672037
CHEMBL335_2h4k_CHEMBL388426	7.130768280269024
CHEMBL335_2h4k_CHEMBL390244	8.0
CHEMBL335_2h4k_CHEMBL390245	8.397940008672037
CHEMBL335_2h4k_CHEMBL394851	6.167491087293763
CHEMBL335_2h4k_CHEMBL394852	6.4089353929735005
CHEMBL335_2h4k_CHEMBL394853	6.508638306165727
CHEMBL335_2h4k_CHEMBL396554	6.721246399047171
CHEMBL335_2h4k_CHEMBL396555	6.522878745280337
CHEMBL335_2h4k_CHEMBL397253	5.3979400086720375
CHEMBL335_2h4k_CHEMBL397254	5.6777807052660805
CHEMBL335_2h4k_CHEMBL397255	6.356547323513812
CHEMBL335_2h4k_CHEMBL397415	8.522878745280337
CHEMBL335_2h4k_CHEMBL429105	6.508638306165727
CHEMBL335_2h4k_CHEMBL438089	5.920818753952375
CHEMBL335_2h4k_CHEMBL541214	8.397940008672037
CHEMBL335_2hb1_CHEMBL212296	3.795880017344075
CHEMBL335_2hb1_CHEMBL373413	4.7447274948966935
CHEMBL335_2nt7_CHEMBL230643	7.42021640338319
CHEMBL335_2nt7_CHEMBL230645	8.301029995663981
CHEMBL335_2nt7_CHEMBL230751	8.221848749616356
CHEMBL335_2nt7_CHEMBL230752	8.221848749616356
CHEMBL335_2nt7_CHEMBL230860	8.698970004336019
CHEMBL335_2nt7_CHEMBL230862	8.698970004336019
CHEMBL335_2nt7_CHEMBL240873	5.337242168318426
CHEMBL335_2nt7_CHEMBL241070	6.522878745280337
CHEMBL335_2nt7_CHEMBL390244	8.0
CHEMBL335_2nt7_CHEMBL390245	8.397940008672037
CHEMBL335_2nt7_CHEMBL395722	9.0
CHEMBL335_2nt7_CHEMBL397903	7.853871964321762
CHEMBL335_2nt7_CHEMBL398781	4.698970004336019
CHEMBL335_2nt7_CHEMBL400022	4.7447274948966935
CHEMBL335_2nt7_CHEMBL401240	5.886056647693163
CHEMBL335_2nt7_CHEMBL541214	8.397940008672037
CHEMBL335_2nta_CHEMBL241250	4.7447274948966935
CHEMBL335_2nta_CHEMBL241461	4.853871964321762
CHEMBL335_2nta_CHEMBL392396	4.795880017344075
CHEMBL335_2nta_CHEMBL393538	5.769551078621726
CHEMBL335_2nta_CHEMBL394483	4.3872161432802645
CHEMBL335_2nta_CHEMBL394484	4.795880017344075
CHEMBL335_2qbp_CHEMBL212232	6.221848749616356
CHEMBL335_2qbp_CHEMBL212285	5.6020599913279625
CHEMBL335_2qbp_CHEMBL212335	5.795880017344075
CHEMBL335_2qbp_CHEMBL213662	6.0
CHEMBL335_2qbp_CHEMBL213758	5.494850021680094
CHEMBL335_2qbp_CHEMBL214378	6.126838617455023
CHEMBL335_2qbp_CHEMBL214502	6.522878745280337
CHEMBL335_2qbp_CHEMBL214794	6.130768280269024
CHEMBL335_2qbp_CHEMBL214911	6.301029995663981
CHEMBL335_2qbp_CHEMBL214912	6.6020599913279625
CHEMBL335_2qbp_CHEMBL215242	5.481486060122113
CHEMBL335_2qbp_CHEMBL215243	5.301029995663981
CHEMBL335_2qbp_CHEMBL215335	6.799299729609228
CHEMBL335_2qbp_CHEMBL215656	5.3979400086720375
CHEMBL335_2qbp_CHEMBL230325	8.154901959985743
CHEMBL335_2qbp_CHEMBL230543	7.886056647693163
CHEMBL335_2qbp_CHEMBL230643	7.42021640338319
CHEMBL335_2qbp_CHEMBL230645	8.301029995663981
CHEMBL335_2qbp_CHEMBL230751	8.221848749616356
CHEMBL335_2qbp_CHEMBL230752	8.221848749616356
CHEMBL335_2qbp_CHEMBL230860	8.698970004336019
CHEMBL335_2qbp_CHEMBL230862	8.698970004336019
CHEMBL335_2qbp_CHEMBL241070	6.522878745280337
CHEMBL335_2qbp_CHEMBL243267	8.522878745280337
CHEMBL335_2qbp_CHEMBL243268	8.522878745280337
CHEMBL335_2qbp_CHEMBL243508	5.769551078621726
CHEMBL335_2qbp_CHEMBL243509	5.698970004336019
CHEMBL335_2qbp_CHEMBL243510	5.6777807052660805
CHEMBL335_2qbp_CHEMBL243730	5.698970004336019
CHEMBL335_2qbp_CHEMBL243731	6.327902142064283
CHEMBL335_2qbp_CHEMBL243732	6.698970004336019
CHEMBL335_2qbp_CHEMBL243940	6.6777807052660805
CHEMBL335_2qbp_CHEMBL243941	6.920818753952375
CHEMBL335_2qbp_CHEMBL243942	7.514362075630947
CHEMBL335_2qbp_CHEMBL244146	5.42021640338319
CHEMBL335_2qbp_CHEMBL244147	6.4089353929735005
CHEMBL335_2qbp_CHEMBL244148	7.356547323513812
CHEMBL335_2qbp_CHEMBL244360	7.259637310505756
CHEMBL335_2qbp_CHEMBL244361	8.096910013008056
CHEMBL335_2qbp_CHEMBL244563	9.167491087293763
CHEMBL335_2qbp_CHEMBL244564	7.619788758288394
CHEMBL335_2qbp_CHEMBL373883	5.853871964321762
CHEMBL335_2qbp_CHEMBL379196	5.522878745280337
CHEMBL335_2qbp_CHEMBL383882	6.698970004336019
CHEMBL335_2qbp_CHEMBL383967	6.2441251443275085
CHEMBL335_2qbp_CHEMBL385276	6.0
CHEMBL335_2qbp_CHEMBL385896	5.522878745280337
CHEMBL335_2qbp_CHEMBL386616	6.443697499232712
CHEMBL335_2qbp_CHEMBL387242	6.2076083105017466
CHEMBL335_2qbp_CHEMBL387614	8.397940008672037
CHEMBL335_2qbp_CHEMBL388425	5.698970004336019
CHEMBL335_2qbp_CHEMBL388426	7.130768280269024
CHEMBL335_2qbp_CHEMBL390244	8.0
CHEMBL335_2qbp_CHEMBL390245	8.397940008672037
CHEMBL335_2qbp_CHEMBL394851	6.167491087293763
CHEMBL335_2qbp_CHEMBL394852	6.4089353929735005
CHEMBL335_2qbp_CHEMBL394853	6.508638306165727
CHEMBL335_2qbp_CHEMBL395722	9.0
CHEMBL335_2qbp_CHEMBL396554	6.721246399047171
CHEMBL335_2qbp_CHEMBL396555	6.522878745280337
CHEMBL335_2qbp_CHEMBL397253	5.3979400086720375
CHEMBL335_2qbp_CHEMBL397254	5.6777807052660805
CHEMBL335_2qbp_CHEMBL397255	6.356547323513812
CHEMBL335_2qbp_CHEMBL397415	8.522878745280337
CHEMBL335_2qbp_CHEMBL397903	7.853871964321762
CHEMBL335_2qbp_CHEMBL429105	6.508638306165727
CHEMBL335_2qbp_CHEMBL438089	5.920818753952375
