unique_identify	-logAffi
3zzf	0.4
3gww	0.45
1w8l	0.49
3fqa	0.49
1zsb	0.6
4obv	0.75
1wkm	0.82
4eu3	0.82
3k41	0.82
2w97	0.96
2b1r	1.0
2d2v	1.0
1aw1	1.05
1maw	1.1
5eb2	1.11
3fl9	1.11
4to8	1.24
4fck	1.26
4fci	1.26
1f9g	1.28
1a0t	1.3
1b74	1.3
5oxm	1.3
2fah	1.3
5moo	1.31
5mnc	1.31
5mny	1.31
2igw	1.31
2vl1	1.35
1qpb	1.36
1o4m	1.4
1o4n	1.4
3eor	1.4
1hty	1.4
2hdq	1.4
3e81	1.43
1ozv	1.44
1utp	1.44
5eb3	1.45
1tnk	1.49
4bh4	1.49
5vqe	1.49
4lh3	1.52
5ct1	1.52
5ele	1.52
3mwe	1.54
1iig	1.57
3rup	1.57
5ofv	1.58
5cs5	1.58
2b1q	1.59
1w8m	1.6
2it4	1.62
1a7t	1.64
4d63	1.64
1hgj	1.66
1rdj	1.66
2o9r	1.68
2sfp	1.7
3oay	1.7
6cex	1.7
5y61	1.72
3vzg	1.72
3zst	1.72
4qsx	1.74
1u2y	1.74
5y62	1.74
5ggj	1.75
4bgx	1.77
5ggl	1.78
2zgm	1.79
3rxh	1.8
1bra	1.82
3eqb	1.82
4ahv	1.82
1y1m	1.82
1rdn	1.84
3khv	1.85
1fd7	1.85
2ay2	1.88
1mwt	1.88
1tnl	1.88
4x8s	1.89
4mrh	1.9
1f2p	1.9
1efi	1.92
3ehn	1.92
2rjr	1.94
1tnj	1.96
2gga	1.96
5oxn	1.96
1wdq	1.98
4qsv	2.0
2hds	2.0
3pce	2.0
4y4g	2.0
3c2f	2.0
4u58	2.0
3rv3	2.0
2r58	2.0
2bmv	2.0
4ctk	2.0
3g2y	2.0
1gbt	2.0
6evq	2.0
4awj	2.0
2ks9	2.04
4e4a	2.05
4x8t	2.05
1jfh	2.05
2zg3	2.06
4b0c	2.07
5tyh	2.08
3rxp	2.08
1p2g	2.13
6fi1	2.15
4q90	2.15
3rxg	2.15
1uxb	2.15
2ay9	2.16
6ghj	2.16
5fe6	2.16
4tim	2.16
5oxk	2.17
6gmx	2.17
3gqz	2.17
4y3j	2.17
5z5f	2.17
3l7d	2.18
6g47	2.18
5nzp	2.19
4amx	2.19
4jdf	2.19
4ahs	2.19
1w1v	2.2
4eh8	2.2
2vvo	2.2
4g0z	2.21
2aac	2.22
4aci	2.22
5jqb	2.22
5hcl	2.22
4x11	2.22
1m0n	2.22
1ajp	2.23
3ao5	2.23
5m9w	2.24
5f6v	2.24
5nzo	2.24
1rdl	2.24
2os9	2.24
3ao1	2.26
1ew8	2.26
4np2	2.26
4eh9	2.26
4ahu	2.27
1hge	2.27
4mfe	2.27
3ip8	2.28
2rjs	2.28
2ay1	2.29
4ehv	2.29
5fnj	2.29
5g42	2.3
1w1p	2.3
4g0y	2.3
2ay7	2.3
5eni	2.3
4e3d	2.3
3pcg	2.3
6gmq	2.3
5enc	2.3
5enj	2.3
4wh7	2.3
1uxa	2.3
3rv4	2.3
1jdj	2.3
1o4g	2.3
1n1g	2.3
4led	2.3
2xix	2.3
2xlc	2.3
1m0o	2.31
5mz8	2.31
4y0a	2.31
2qve	2.32
5aol	2.32
4iie	2.34
4k3k	2.35
1qi0	2.35
3gtc	2.35
4y3y	2.35
5fsc	2.36
6rnt	2.37
4jck	2.37
3f6e	2.38
1f73	2.39
4tya	2.39
4nyt	2.39
3pcb	2.4
4zsm	2.4
2wi1	2.4
2wsx	2.41
1o4r	2.41
4u5o	2.42
5os3	2.43
3mjl	2.44
3ked	2.44
3l7c	2.44
4d62	2.44
2i2b	2.44
1oba	2.44
2aez	2.46
4ah9	2.46
4x8u	2.46
1o4o	2.46
1gbq	2.46
3l79	2.46
4gne	2.47
5jal	2.47
5dv4	2.47
3rik	2.47
1utl	2.47
1tok	2.47
4y4j	2.47
6fhq	2.47
5mnb	2.48
5mn1	2.48
4ze6	2.48
5mnx	2.48
5mon	2.48
4u5n	2.48
1gyx	2.48
4ej2	2.49
1o4q	2.49
1ai4	2.5
3g30	2.51
4ctj	2.51
5f6d	2.52
4urz	2.52
3fq7	2.52
3mfv	2.52
3ad7	2.52
4e3f	2.52
4g0q	2.52
4hj2	2.53
3ovn	2.55
5n53	2.55
1il3	2.55
5os0	2.55
1kf0	2.55
5eif	2.55
2ria	2.57
5v4q	2.57
2wq4	2.57
3gvb	2.59
4o3a	2.59
2jst	2.59
4wef	2.59
2ay5	2.59
4o3c	2.59
1o4p	2.6
3rxf	2.6
3gwv	2.6
5g46	2.6
4up5	2.6
5lvd	2.62
4lnf	2.62
5foo	2.62
3fk1	2.62
1cze	2.62
3rxl	2.62
1w1y	2.62
4lno	2.62
1ajn	2.63
1o4i	2.64
1g5f	2.64
6fhu	2.64
4q7w	2.64
4q8y	2.64
3p1d	2.64
4ufl	2.64
4i8x	2.64
4y2p	2.66
1il5	2.66
3a1e	2.66
5eld	2.66
3lvw	2.67
1o8b	2.68
1hgi	2.68
5aqj	2.68
4b3d	2.68
4usw	2.69
5k5s	2.69
1tc1	2.7
4old	2.7
4ypf	2.7
4yrr	2.7
1gym	2.7
3zsz	2.7
2fzc	2.7
4yrc	2.7
3rqw	2.7
4okp	2.7
3zsw	2.7
3gk2	2.7
1lt5	2.7
4yrg	2.7
5aok	2.7
2krd	2.7
3hvg	2.7
3zt1	2.7
2ohk	2.7
3fuh	2.7
2ha4	2.7
6fty	2.7
4kpz	2.71
2rkd	2.72
1pfu	2.72
5fsx	2.72
2vyt	2.74
1dg9	2.74
5oyd	2.75
1rql	2.75
4bt5	2.76
5er4	2.76
1ny2	2.76
4kz3	2.77
