unique_identify	-logAffi
4wvt	5.31
4m3f	5.31
3fcb	5.31
5d0j	5.31
5km0	5.31
3m53	5.31
1mfd	5.31
3v2o	5.31
6ezi	5.31
4ipi	5.32
4r07	5.32
1al8	5.32
6h1u	5.32
6g0z	5.32
5ayy	5.32
4qag	5.32
1lvu	5.32
5ks7	5.32
1y20	5.32
2f6z	5.32
4yb6	5.32
5g1z	5.32
5mlo	5.32
1mqj	5.32
5t4u	5.32
3uig	5.32
5n17	5.32
3sqq	5.32
4hbw	5.32
4us4	5.32
4us3	5.32
1oim	5.32
2w9r	5.32
3rpy	5.32
3gjq	5.33
3ftq	5.33
5n8e	5.33
5cqx	5.33
2n14	5.33
3rzi	5.33
4b3u	5.33
4giu	5.33
4mcd	5.33
3ml4	5.33
5q12	5.33
3q1x	5.33
4mep	5.33
3hxe	5.33
6fav	5.33
5nf9	5.33
3arx	5.33
4xy9	5.33
1k06	5.34
3qiy	5.34
3vb5	5.34
4mg5	5.34
4j06	5.34
1k08	5.34
1aqc	5.34
3v3v	5.34
3vv7	5.34
3zyr	5.34
3nee	5.34
3nrz	5.34
6cd4	5.34
5l4m	5.34
3atv	5.34
3k4q	5.34
4wrq	5.34
6ap7	5.34
5u14	5.34
3hkq	5.34
1jwu	5.34
5wp5	5.34
3efs	5.34
2qnb	5.34
3bc4	5.35
2fxv	5.35
4rcp	5.35
4wgi	5.35
4k76	5.35
6ep4	5.35
5jnn	5.35
1ql9	5.35
4k6w	5.35
2gqn	5.35
2ltz	5.35
4blb	5.35
6an1	5.35
4ep2	5.35
4yef	5.35
3r8i	5.35
5u11	5.35
5llm	5.35
2xyu	5.35
2gkl	5.35
3hkn	5.35
4ef4	5.35
5l26	5.35
1wb0	5.35
3g8e	5.35
4b9h	5.35
4qwi	5.36
2qaf	5.36
5drt	5.36
5eou	5.36
5obr	5.36
3u3z	5.36
6afe	5.36
1oy7	5.36
5q0l	5.36
4c1d	5.36
6chq	5.36
3ldq	5.36
2qlj	5.36
4hby	5.36
1adl	5.36
6gu3	5.36
4el9	5.36
1w6y	5.36
4kod	5.36
3ncq	5.36
3mf5	5.36
5jdi	5.37
4g0k	5.37
6eyb	5.37
2glm	5.37
3lqj	5.37
6cb5	5.37
4xc2	5.37
4lkf	5.37
5etn	5.37
5uci	5.37
4el5	5.37
6g15	5.37
4dpy	5.37
6ap6	5.37
3qt6	5.37
5dpw	5.37
3chf	5.37
5cdh	5.37
3wmb	5.37
2hj4	5.37
1sgu	5.37
1thr	5.38
2xke	5.38
6baw	5.38
6g8m	5.38
3e85	5.38
3sw9	5.38
2ohu	5.38
3ud8	5.38
2vd7	5.38
2m0o	5.38
4umq	5.38
1g3e	5.38
2lty	5.38
4kz0	5.38
4qvw	5.38
3zyb	5.38
5mek	5.38
2qhd	5.38
4hlw	5.38
3tif	5.38
2h2j	5.38
3tww	5.38
4ebv	5.38
4f7v	5.38
4hxr	5.39
2h6b	5.39
1kyn	5.39
1hy7	5.39
3tgs	5.39
3m1k	5.39
1qbv	5.39
3so6	5.39
2wic	5.39
3e37	5.39
2ltx	5.39
3fc8	5.39
1uyi	5.39
4cl6	5.39
5e1d	5.39
6ma2	5.39
5chk	5.39
3hxb	5.39
4ej8	5.39
2v22	5.39
4btm	5.39
4hxs	5.39
2xpa	5.39
1r9l	5.4
3ken	5.4
4aph	5.4
1mxu	5.4
5ep7	5.4
5jiq	5.4
1yi3	5.4
5m2v	5.4
4m3p	5.4
3b4p	5.4
4c5d	5.4
4nwd	5.4
1t1r	5.4
5yid	5.4
1tv6	5.4
2wzz	5.4
1ow8	5.4
3l6h	5.4
4ij1	5.4
5jsj	5.4
1ow7	5.4
5o1i	5.4
1uvs	5.4
5anq	5.4
4ozj	5.4
1my3	5.4
4ozn	5.4
3rk5	5.4
5fjw	5.4
2f35	5.4
1bp0	5.4
6bj2	5.4
3pch	5.4
1pz5	5.4
5lsg	5.4
5eqp	5.4
1m7i	5.4
2jdm	5.4
1bq3	5.4
1trd	5.4
2qg2	5.4
5mqe	5.4
2g24	5.4
3pma	5.4
4rqz	5.4
2c1p	5.4
1mmr	5.4
5tef	5.4
4m3d	5.41
4drp	5.41
2mps	5.41
1y3a	5.41
6mil	5.41
5u5t	5.41
3kai	5.41
4lwt	5.41
3arn	5.41
5lt6	5.41
4fgt	5.41
5yv5	5.41
4kmd	5.41
5etm	5.41
5u13	5.41
1u2r	5.41
5m7t	5.41
5cbs	5.41
4u6z	5.41
3tjh	5.41
1dzm	5.41
3gqo	5.41
1xxe	5.41
5ey9	5.41
2j47	5.41
1h9z	5.42
1nu8	5.42
4nxv	5.42
2qnz	5.42
2vpo	5.42
6cjh	5.42
1r5n	5.42
3qci	5.42
1xot	5.42
3ob1	5.42
4uxj	5.42
2a3w	5.42
4fev	5.42
3rl4	5.42
5ab1	5.42
3k0k	5.43
4ofb	5.43
6afd	5.43
3qlc	5.43
4xta	5.43
4pnc	5.43
1fq7	5.43
2qu2	5.43
4pox	5.43
3k5f	5.43
1y98	5.43
4p2t	5.43
2qln	5.43
5ksx	5.43
3ivv	5.43
6a6w	5.43
4tmp	5.43
1fw0	5.43
3s7f	5.43
4b60	5.43
4dju	5.44
4j26	5.44
4mgb	5.44
4osf	5.44
3lp7	5.44
4rsp	5.44
6d1u	5.44
5uxm	5.44
1h0a	5.44
4tju	5.44
4qz1	5.44
6buu	5.44
3pty	5.44
3p2h	5.44
4bdk	5.44
4fli	5.44
5e3a	5.44
3gs7	5.44
3run	5.44
3u10	5.44
6gnr	5.44
5tp0	5.44
4mp2	5.45
3mi3	5.45
2iko	5.45
3my1	5.45
4jft	5.46
5dtw	5.46
5xag	5.46
5txy	5.46
5nka	5.46
2cn8	5.46
6dcy	5.46
1q65	5.46
2y4k	5.46
5ye7	5.46
1b4h	5.46
4kot	5.46
3s22	5.46
4gw5	5.46
2fie	5.46
1lv8	5.46
4zly	5.46
1anf	5.46
2gg9	5.46
6ekq	5.46
5mnr	5.46
4qz0	5.46
1nnk	5.46
5owa	5.46
5fb0	5.47
1gi1	5.47
5o4s	5.47
5gu4	5.47
4j77	5.47
1o2s	5.47
3t3y	5.47
1g7f	5.47
4jmu	5.47
2y7p	5.47
4n7m	5.47
2r0z	5.47
3pd2	5.47
2hf8	5.47
4qb3	5.47
6c7w	5.47
2xde	5.47
5u0f	5.47
4xcb	5.47
1nlo	5.47
1g85	5.48
5mav	5.48
3d2r	5.48
4qfg	5.48
4x8p	5.48
4oq6	5.48
4n7h	5.48
4jfm	5.48
5aqz	5.48
2qyk	5.48
4tmf	5.48
3iw6	5.48
2qic	5.48
5ii1	5.48
3zdv	5.48
3m58	5.48
5alx	5.48
4ie4	5.48
5hrw	5.48
3bxe	5.48
5vwk	5.48
4c5w	5.48
2zkj	5.48
4ycu	5.48
5lkr	5.48
4kp8	5.48
1uh1	5.48
5iv4	5.48
2nww	5.48
5yib	5.48
2wxd	5.48
4d2r	5.48
3t3g	5.49
4w9f	5.49
4f6s	5.49
1pyn	5.49
3ga5	5.49
3h0b	5.49
2qtr	5.49
6g91	5.49
2uy5	5.49
1uef	5.49
5avf	5.49
3mvj	5.49
3bmq	5.49
6afa	5.49
6f29	5.49
3bvb	5.49
3i73	5.49
5xzr	5.49
3hmp	5.49
5tq1	5.49
1tys	5.49
4zs2	5.49
3sgx	5.49
4tq3	5.49
6af9	5.49
2r3y	5.49
2ioa	5.49
5w6u	5.49
4uvb	5.49
2h4k	5.49
4rt0	5.5
3lfn	5.5
4ura	5.5
3tza	5.5
2y58	5.5
2ajb	5.5
3c1n	5.5
6gr7	5.5
6hm6	5.5
6gfz	5.51
2gc8	5.51
4qwu	5.51
4qxo	5.51
3da9	5.51
4qz3	5.51
3cn0	5.51
4k55	5.51
1t08	5.51
4i9c	5.51
4zgk	5.51
4zba	5.51
6ewe	5.51
