unique_identify	-logAffi
3kvw	6.89
4yw7	6.89
5kj0	6.89
1uz1	6.89
1v0p	6.89
3zrk	6.89
1sb1	6.89
5hfu	6.89
4vgc	6.9
4fz6	6.9
4rh5	6.9
6q73	6.9
3uyr	6.9
5w6i	6.9
2p3g	6.9
3cow	6.9
2hwo	6.9
5f3g	6.9
4zzx	6.9
2w6n	6.9
1k1l	6.9
3qo3	6.9
5nra	6.91
5cqt	6.91
3wde	6.91
6hu0	6.91
5tq6	6.91
3evc	6.91
4bcm	6.91
2ito	6.91
3kbz	6.91
3evd	6.91
2hha	6.91
1pkx	6.92
5ci7	6.92
2uy0	6.92
4imz	6.92
3r04	6.92
3u6w	6.92
4i47	6.92
3kl8	6.92
4jg7	6.92
3ej1	6.92
3bl0	6.92
5i58	6.92
4bo8	6.92
5lz9	6.92
1swr	6.92
2uzb	6.92
4tn2	6.92
5kkr	6.92
3wfg	6.92
2a3x	6.92
6d5h	6.92
2xcn	6.92
1o2k	6.92
2d3u	6.92
3jpv	6.92
3rz9	6.92
1a37	6.92
5jbi	6.92
5q1e	6.92
3bu8	6.92
1o4a	6.92
4wwp	6.92
4yll	6.92
6bsk	6.92
5km5	6.92
4na4	6.92
4k10	6.92
4bfy	6.92
4qtl	6.92
3r1v	6.92
2oa0	6.92
4gsy	6.92
3r0i	6.92
2o9j	6.92
4u0e	6.92
3ccn	6.92
3cwe	6.92
3wdz	6.92
4wm9	6.92
1a9m	6.92
2g78	6.92
4pgd	6.92
1d4w	6.92
3svj	6.93
1oeb	6.93
3bh9	6.93
4e93	6.93
4y67	6.93
2weo	6.93
2z7h	6.94
4pkb	6.94
4xir	6.94
4w4v	6.94
4nru	6.94
4wk2	6.94
4l34	6.94
3svv	6.94
4og7	6.94
4i9r	6.95
3dct	6.95
1kmv	6.95
1tcx	6.95
5h0g	6.95
4qw4	6.95
5am4	6.95
2hiz	6.95
4q4s	6.95
3ho2	6.95
4qir	6.95
6b1c	6.95
4odl	6.95
4k9y	6.95
3luo	6.95
1r58	6.96
1gvw	6.96
3lp0	6.96
5mhq	6.96
5m63	6.96
6bnl	6.96
4cg8	6.96
2e93	6.96
5v35	6.96
5yfz	6.96
1gux	6.96
5t31	6.96
1x8j	6.96
1juj	6.96
1n3w	6.96
5wdj	6.96
4pzw	6.96
6ft9	6.96
1gj8	6.96
4loh	6.96
3exe	6.96
3lq5	6.96
5ncq	6.96
5gso	6.96
5l13	6.96
1mto	6.96
4dai	6.96
5i8b	6.96
1atr	6.96
4rpn	6.96
2anl	6.96
1bm2	6.96
3cth	6.96
2xwd	6.96
2ieh	6.96
5icx	6.96
1u0h	6.96
1ent	6.96
5qcm	6.96
3r5j	6.96
2cng	6.96
5lh4	6.96
1oyq	6.96
3tv4	6.96
6bl1	6.96
4i54	6.96
6c5t	6.97
3hy7	6.97
2k0g	6.97
4li6	6.97
4nj9	6.97
3r7q	6.97
3t84	6.97
5ul5	6.97
5zag	6.97
5umy	6.97
4xar	6.97
5vgi	6.98
1my4	6.98
1biw	6.98
5ajw	6.98
2fme	6.98
6eif	6.98
3hv8	6.98
5j3v	6.98
4oc4	6.98
2w54	6.98
4ckr	6.98
4bcs	6.99
4aza	6.99
4w4x	6.99
4fai	6.99
6bnk	6.99
3slz	6.99
2iw8	6.99
3t2v	6.99
5xpn	6.99
3l6f	6.99
2y6s	6.99
2r3l	7.0
5wzu	7.0
1iep	7.0
6hdq	7.0
4r3c	7.0
1tyr	7.0
1vru	7.0
6afl	7.0
3di6	7.0
2p0d	7.0
3ral	7.0
1unh	7.0
3pix	7.0
2zu5	7.0
4wq3	7.0
4ybt	7.0
3wtm	7.0
3poa	7.0
6mub	7.0
3fsm	7.0
4zlz	7.0
2buc	7.0
3zya	7.0
6d59	7.0
5g2b	7.0
3kdm	7.0
5gvk	7.0
1oth	7.0
1lf3	7.0
5l8c	7.0
4a7j	7.0
1m74	7.0
4i7d	7.0
2gvd	7.0
5boj	7.0
5d47	7.0
6ct7	7.0
5kbq	7.0
3t82	7.0
3hd3	7.0
2rjp	7.0
3bbb	7.0
4uco	7.0
6msy	7.0
4tsz	7.0
4ymj	7.0
1fpc	7.0
4fcq	7.0
4fhi	7.0
3l38	7.0
4bo7	7.0
5l9i	7.0
3m2u	7.0
3drg	7.0
5mwy	7.0
5sz6	7.0
3rse	7.0
3qaq	7.0
3mhm	7.0
2veu	7.0
5wg4	7.0
4b6o	7.0
1kcs	7.0
1ch8	7.0
4ncm	7.0
4zz0	7.0
1yvf	7.0
4kom	7.0
3db8	7.0
1vyj	7.0
1pqc	7.0
3kx1	7.0
2r3k	7.0
3zyu	7.0
3mb6	7.0
3l8s	7.0
6eo8	7.0
3uvo	7.0
5usq	7.0
4ayr	7.0
2a2g	7.0
3wzn	7.0
4gs8	7.0
2gm1	7.0
4yve	7.0
1kc5	7.0
4rfy	7.0
4x0f	7.0
1zoh	7.0
1fki	7.0
4dew	7.0
5g22	7.0
3g15	7.0
3u9n	7.0
4riv	7.0
3dux	7.0
2b8v	7.01
5byy	7.01
4d8e	7.01
1x8b	7.01
4ux4	7.01
3nht	7.01
1u32	7.01
3atw	7.01
3eou	7.01
4mq2	7.01
6fs1	7.01
2b55	7.02
3n4b	7.02
4bfd	7.02
5f4r	7.02
3pbb	7.02
5f4u	7.02
3r92	7.02
2yj9	7.02
3w0l	7.02
4dum	7.02
3cdb	7.02
5bns	7.02
3nzc	7.02
2vwl	7.02
1ypj	7.02
2btr	7.02
4mw9	7.02
3hv5	7.02
3igp	7.02
1wtg	7.03
5vsf	7.03
6b2c	7.03
2vwm	7.03
3ohf	7.03
4ajo	7.03
4fxz	7.03
4jpc	7.03
6hsk	7.03
5g2n	7.03
4av4	7.03
3dsu	7.03
5epl	7.03
3gnv	7.03
3fxv	7.03
5hz9	7.03
3hyg	7.03
3eyf	7.03
4tpt	7.04
3wi2	7.04
5q13	7.04
3wtl	7.04
4p6x	7.04
6ezh	7.04
1nyx	7.04
3ws9	7.04
5lgp	7.04
4yxo	7.04
5ddc	7.04
3oqf	7.04
4n6y	7.04
2wti	7.04
3bgp	7.04
2aov	7.04
4lnw	7.04
3shy	7.04
3wtn	7.04
2wxo	7.05
5nvx	7.05
3aho	7.05
5m5q	7.05
2bub	7.05
4gjc	7.05
3v7s	7.05
4eny	7.05
5lgq	7.05
2vwy	7.05
1ci7	7.05
5lli	7.05
2bq7	7.05
2jxr	7.05
3q4k	7.05
5fd2	7.05
1xug	7.05
3ahn	7.05
4hg7	7.05
1g7p	7.05
4zsh	7.05
3s0d	7.05
4e3h	7.05
2g1y	7.05
2fts	7.05
3i4y	7.05
3sfh	7.05
6h41	7.05
4bhi	7.05
2h03	7.05
1nox	7.05
6i3s	7.05
5bui	7.05
3wch	7.05
3zhz	7.05
4h3j	7.05
3po6	7.06
5lgs	7.06
4dxg	7.06
2q8g	7.06
2duv	7.06
5zc5	7.06
1ui0	7.06
3s3n	7.06
1bwn	7.06
3fh5	7.06
2zsc	7.06
5a6h	7.06
5ezx	7.06
3k3h	7.06
4zzz	7.06
5e2r	7.06
4bb2	7.07
2aei	7.07
4ju3	7.07
4qew	7.07
5alr	7.07
2oji	7.07
5mpn	7.07
5ak5	7.07
1zsh	7.07
4xiq	7.07
4jve	7.07
2ate	7.07
3u7k	7.07
2oc4	7.07
2wd3	7.07
4nud	7.07
4qmw	7.07
4qkx	7.07
5ali	7.07
5hz5	7.07
