unique_identify	-logAffi
6c1s	8.52
3ttm	8.52
4yne	8.52
6fyk	8.52
4rpv	8.52
6dvm	8.52
3ml5	8.52
4jnm	8.52
5anw	8.52
5fqc	8.52
1sps	8.52
5am1	8.52
4izy	8.52
1o44	8.52
4gjd	8.52
1d7x	8.52
2vf6	8.52
4p1u	8.52
4gv1	8.52
1nfx	8.52
4o97	8.52
1fcy	8.52
5i4v	8.52
2vaq	8.52
3ns9	8.52
3dcv	8.52
2qmf	8.52
2v11	8.52
6csp	8.52
3n23	8.52
1oit	8.52
3dya	8.52
5mpk	8.52
2wxp	8.52
4yzc	8.52
5jyo	8.52
6b4h	8.52
4zom	8.52
1r78	8.52
2bqw	8.52
4l6s	8.52
1w14	8.52
5eyk	8.52
5vi6	8.52
4o6w	8.52
4xoc	8.52
1xkk	8.52
2vvc	8.52
5wlv	8.52
2oc2	8.52
3psd	8.52
4qmn	8.52
3psb	8.52
4foc	8.52
1hbj	8.52
4wcu	8.52
5bqh	8.52
1jij	8.52
5hg8	8.52
3k84	8.52
5j79	8.52
2ow3	8.52
2vtp	8.52
3ocg	8.52
2boh	8.52
5izq	8.52
6ccy	8.52
3h5u	8.52
5eyc	8.52
1rhu	8.52
5n70	8.52
4mbl	8.54
5mjn	8.54
3kjd	8.54
6e2o	8.54
3hc8	8.54
5sxm	8.54
4fcb	8.54
4hwo	8.54
4yay	8.54
5i9y	8.55
2zis	8.55
1ibg	8.55
3g6g	8.55
6c7e	8.55
4ynd	8.55
3v51	8.55
5amd	8.55
3t8s	8.55
5hzx	8.55
5nhv	8.55
1ppl	8.55
5nxg	8.55
3kfc	8.55
2byr	8.55
3so9	8.56
5j6m	8.57
4uwl	8.57
4tpk	8.57
1bgq	8.57
1q1g	8.57
1yye	8.57
5caq	8.57
2yne	8.57
4kmz	8.57
3dkf	8.57
3v7x	8.57
3ejq	8.57
2h8h	8.57
2x4z	8.57
2w6t	8.57
3vrt	8.57
4re3	8.57
3r5t	8.58
1hkj	8.59
4tpp	8.59
2itz	8.59
6h37	8.59
5nbw	8.59
2iit	8.59
1m7q	8.59
2gu8	8.59
4ezl	8.59
2fky	8.59
5idn	8.59
3ibi	8.59
5hk2	8.59
5cf5	8.6
3bqn	8.6
3b66	8.6
4qf7	8.6
4jg8	8.6
2r5b	8.6
3fhe	8.6
3t3u	8.6
4qjp	8.6
5a3q	8.6
5upf	8.6
3m6f	8.6
4gj2	8.6
3s43	8.6
3k5g	8.6
1bwa	8.6
4f65	8.6
4ke1	8.6
4qlt	8.6
4efs	8.6
3sxf	8.6
6gl8	8.61
4jx9	8.62
4nrl	8.62
4tpm	8.62
4fcf	8.62
5egm	8.62
4dru	8.62
5htz	8.62
4bf1	8.62
1a61	8.62
6h7j	8.62
3dt1	8.62
1azl	8.62
5ubt	8.62
6euv	8.62
2cej	8.62
3ryz	8.62
2h42	8.62
3f17	8.63
5of0	8.63
4ee0	8.63
3s71	8.64
6hd4	8.64
5nhy	8.64
3hkw	8.64
4x6x	8.64
2qry	8.64
3f88	8.64
1r1j	8.64
3wig	8.64
5uwk	8.64
5x74	8.64
5jga	8.64
3zev	8.64
4g9c	8.64
6std	8.64
4ydn	8.64
4zyf	8.64
6dki	8.64
1t31	8.64
5hbj	8.64
5zwi	8.64
2qt9	8.64
4pft	8.64
5e8f	8.64
4kp0	8.65
2oax	8.65
2pja	8.66
5f4n	8.66
3s68	8.66
2i47	8.66
3vnt	8.66
5td2	8.66
2rg6	8.66
4bbf	8.66
5edu	8.66
3kqc	8.66
1n9a	8.66
3d1x	8.66
1i9n	8.66
5epn	8.66
5tq3	8.66
5n93	8.66
6ds0	8.66
2x39	8.66
6b5t	8.66
6aqf	8.67
3u1y	8.67
6e59	8.67
3m8p	8.68
3iw4	8.68
2nw4	8.68
3c6t	8.68
3s3r	8.68
5f1z	8.68
6h96	8.68
4jmh	8.68
2qd6	8.68
3jsi	8.68
2q55	8.69
5cj6	8.69
5c2e	8.7
3pa5	8.7
2pcp	8.7
5t2i	8.7
2wf1	8.7
2wgj	8.7
2dbl	8.7
2y81	8.7
2bvx	8.7
5x8i	8.7
1g4j	8.7
2be2	8.7
5vgo	8.7
5tw3	8.7
3brn	8.7
4j53	8.7
3da6	8.7
6f22	8.7
2y7z	8.7
1pxo	8.7
5u00	8.7
2w0d	8.7
5sz2	8.7
4i5h	8.7
3oot	8.7
2f8g	8.7
5w86	8.7
2yac	8.7
4zwy	8.7
4nwk	8.7
4q1c	8.7
3bla	8.7
3oyp	8.7
3qk0	8.7
2jh0	8.7
4d8c	8.7
5ml4	8.7
4jlg	8.7
1f9e	8.7
5ih9	8.7
4zg7	8.7
1y0x	8.7
1w13	8.7
4n4v	8.7
4hxw	8.7
2wyg	8.7
4rce	8.7
1hfs	8.7
1t7j	8.7
4uj9	8.7
3l1s	8.7
2uwo	8.7
3i60	8.7
5tzy	8.7
5nk4	8.7
4bah	8.7
5edq	8.7
1haa	8.7
5hg5	8.7
2wxv	8.7
3eqr	8.7
3qc4	8.7
2fl2	8.7
3d9z	8.7
4o12	8.7
2fr3	8.7
4a7i	8.7
2q2z	8.7
3hvj	8.7
2bpm	8.7
2fmb	8.7
2h4n	8.7
4r5a	8.7
2oaz	8.7
6awo	8.7
4rwj	8.7
4unr	8.7
4k6z	8.7
6cyd	8.7
3lvp	8.7
1lnm	8.7
3ik3	8.7
1svg	8.7
4d89	8.7
2i3z	8.7
1rne	8.7
1npw	8.7
4o15	8.7
2x2i	8.7
4lgh	8.7
5kks	8.7
5zkb	8.7
3i5z	8.7
2ovx	8.7
2y5f	8.7
4x7o	8.7
2nwl	8.7
3hwn	8.7
2ojj	8.7
3lgp	8.7
4occ	8.7
3be2	8.7
2vnn	8.7
3thb	8.7
5ufr	8.7
5e8r	8.7
3fdm	8.7
2w17	8.7
4yhp	8.7
5k0i	8.7
1dmt	8.7
2k31	8.7
4eo6	8.7
3t9t	8.71
4bkj	8.72
4xg8	8.72
1x76	8.72
6dj7	8.72
6b1f	8.72
2wj1	8.72
5ikb	8.72
1hc9	8.72
1o5m	8.72
4q1b	8.72
4tv3	8.72
6br2	8.72
3vf9	8.72
5jg1	8.72
6b1h	8.72
5c4u	8.72
1c12	8.72
3p8o	8.72
4x6o	8.72
4hhy	8.72
5j74	8.72
1eub	8.72
6br3	8.72
5zwh	8.72
2pjc	8.72
1cin	8.73
5k13	8.74
3rz1	8.74
5zk3	8.74
3q32	8.74
1mjj	8.74
1pxh	8.74
2anm	8.74
2fl5	8.74
1b6k	8.74
3ce3	8.74
3r7r	8.74
5vkc	8.74
4gii	8.74
4ei4	8.74
5zwf	8.74
2opb	8.74
1qft	8.77
3qdd	8.77
2itt	8.77
1xpc	8.77
6b5r	8.77
4m0f	8.77
4yt7	8.77
5ea3	8.77
1ros	8.77
2wkz	8.77
5wal	8.77
4d09	8.77
2uz6	8.77
5abh	8.77
4rss	8.77
3e4a	8.77
1bnv	8.77
5n7v	8.77
4kql	8.77
3s3q	8.77
1zp8	8.77
4yhq	8.77
2yis	8.77
2j7x	8.77
1x38	8.77
5fgk	8.77
4e4l	8.77
2cne	8.77
1csi	8.8
5k32	8.8
3idp	8.8
3rt4	8.8
1cj1	8.8
1ryf	8.8
1fkn	8.8
4gk2	8.8
5vpm	8.8
3vyf	8.8
3d1z	8.8
5vm0	8.8
2ll7	8.8
2q2y	8.8
4ge9	8.8
2q7m	8.8
1g46	8.8
2amv	8.8
2xn6	8.8
4z9l	8.8
1w5w	8.8
4g2w	8.8
5j8x	8.8
4ksp	8.8
1yz3	8.81
1ork	8.81
5k0m	8.82
5u3b	8.82
5lrk	8.82
6g4y	8.82
4i5c	8.82
4jmg	8.82
5lrg	8.82
2ghg	8.82
4na8	8.82
2r9m	8.82
1czk	8.82
3zlo	8.82
1g54	8.82
2ckm	8.82
1m0b	8.82
5iua	8.82
3nu4	8.82
5ta6	8.82
2hvc	8.82
3bz3	8.82
1cim	8.82
3que	8.82
3fvk	8.82
5kby	8.82
2zxg	8.82
3tlh	8.82
5bvw	8.82
5vil	8.82
5bvn	8.82
2r4f	8.82
1lhu	8.83
3mxd	8.83
4btt	8.84
5mlj	8.85
3nzu	8.85
4hvd	8.85
5uoo	8.85
5zz2	8.85
5cas	8.85
5jau	8.85
3prf	8.85
5ivn	8.85
3r2f	8.85
3vo3	8.85
5ef8	8.85
5tx3	8.85
3vsx	8.85
4gj3	8.85
5w0i	8.85
2qlf	8.85
1d4i	8.85
3ppk	8.85
4mu7	8.85
2feq	8.86
2ycs	8.87
5lwm	8.87
3c6u	8.87
6c7j	8.88
4psh	8.89
3sx9	8.89
4cst	8.89
1n3i	8.89
1ztq	8.89
5fnu	8.89
1i90	8.89
1lek	8.89
4cli	8.89
4lqg	8.89
4yc9	8.89
