unique_identify	-logAffi
5e8r	8.7
2ojj	8.7
1f9e	8.7
3bla	8.7
4q1c	8.7
2nnq	8.7
4x7o	8.7
2y7z	8.7
5w86	8.7
3oot	8.7
3thb	8.7
5k0i	8.7
2bvx	8.7
5vgo	8.7
5ih9	8.7
5ufr	8.7
2w17	8.7
3qk0	8.7
3oz1	8.7
2b7d	8.7
2i3z	8.7
3l1s	8.7
2hm1	8.7
2fl2	8.7
2wyg	8.7
2h4n	8.7
6f22	8.7
4n4v	8.7
1rne	8.7
1xap	8.7
5ug8	8.7
2wgj	8.7
2vj8	8.7
4zwz	8.7
2y81	8.7
2jh0	8.7
5x8i	8.7
4xmo	8.7
3be2	8.7
4k6z	8.7
1w13	8.7
4f1s	8.7
1hfs	8.7
2wxv	8.7
4o15	8.7
3ppj	8.7
3qc4	8.7
6awo	8.7
4d8c	8.7
5hg5	8.7
1hkm	8.72
4ish	8.72
5ikb	8.72
4xg8	8.72
1eub	8.72
1x76	8.72
4tv3	8.72
4q1b	8.72
3lik	8.72
3pwh	8.72
2wj1	8.72
3vf9	8.72
6br2	8.72
4hhy	8.72
6br3	8.72
1cin	8.73
4ei4	8.74
5vkc	8.74
3rz1	8.74
3ce3	8.74
4gii	8.74
1bl4	8.74
2opb	8.74
3r7r	8.74
3q32	8.74
5zk3	8.74
1pxh	8.74
4m0f	8.77
1xpc	8.77
4ekg	8.77
4frs	8.77
3e4a	8.77
3qdd	8.77
2j7x	8.77
5i7u	8.77
4rss	8.77
5n7v	8.77
1zuc	8.77
5wal	8.77
2yis	8.77
4e4l	8.77
5fgk	8.77
2itt	8.77
5y80	8.79
3eyg	8.8
4ngq	8.8
4gk2	8.8
3skc	8.8
2q2y	8.8
1f1j	8.8
5e2p	8.8
3oaf	8.8
4g2w	8.8
5vpm	8.8
3vyf	8.8
2q7m	8.8
3idp	8.8
4ksp	8.8
4z9l	8.8
5cau	8.8
1yz3	8.81
1g54	8.82
5ta6	8.82
2r9m	8.82
4x6n	8.82
5bvw	8.82
3bz3	8.82
5u3b	8.82
1cim	8.82
5zeq	8.82
5kos	8.82
2p93	8.82
2giu	8.82
5bvn	8.82
5iua	8.82
2ckm	8.82
5kby	8.82
4na8	8.82
5k0m	8.82
5tob	8.82
2hvc	8.82
5uex	8.82
4hvd	8.85
4gj3	8.85
5jau	8.85
3wyl	8.85
2obf	8.85
4j6i	8.85
3vsx	8.85
3prf	8.85
3r2f	8.85
3ppk	8.85
1u3s	8.85
3vo3	8.85
2feq	8.86
2xej	8.87
5lwm	8.87
6c7j	8.88
4cli	8.89
5zk8	8.89
5mty	8.89
3wke	8.89
2onz	8.89
2h5i	8.89
4lqg	8.89
4cst	8.89
1ztq	8.89
5wfj	8.89
6b2p	8.89
3ekp	8.89
5vrp	8.89
4yc9	8.89
3zos	8.89
3km4	8.89
3sx9	8.89
5ipj	8.89
3rin	8.89
4qyh	8.89
4pxm	8.89
1xp9	8.89
3a4o	8.89
1kzn	8.92
4fod	8.92
5sz1	8.92
2w1i	8.92
5ljt	8.92
4e6d	8.92
6bqg	8.93
3uza	8.94
2z7g	8.95
5nhh	8.95
4ag8	8.96
3v5p	8.96
3dcc	8.96
6f7q	8.96
4zjc	8.96
4xo8	8.96
3krj	8.96
1nfw	8.96
5iu7	8.96
2p4j	8.96
5cf8	8.96
4bdt	8.96
5wr7	8.96
5ws3	8.96
5nad	8.96
4ptc	8.96
5ur1	8.97
5tbe	8.97
5eyd	9.0
6c7r	9.0
3jy9	9.0
2ofu	9.0
2rgu	9.0
6hkj	9.0
5nu1	9.0
2iok	9.0
4xyf	9.0
2oo8	9.0
6bw8	9.0
4gm8	9.0
2b7a	9.0
5dxh	9.0
4rvm	9.0
1pop	9.0
5hdu	9.0
2r6n	9.0
4rio	9.0
3u8w	9.0
4o6e	9.0
1xp0	9.0
5if4	9.0
3tkm	9.0
1ba8	9.0
4ps8	9.0
5tl9	9.0
5bpa	9.0
5q0d	9.0
2w05	9.0
1k27	9.0
1fm9	9.0
3kc1	9.0
6ck6	9.0
4iwd	9.0
3u6i	9.0
2j4i	9.0
1mu8	9.0
3jxw	9.0
2wyj	9.0
1e3g	9.0
4dei	9.0
6bsl	9.0
3o1g	9.0
5zo7	9.0
4hyh	9.0
1iyl	9.0
5kkt	9.0
1mq5	9.0
3tjd	9.0
4h3f	9.0
2i03	9.0
5ljq	9.0
5tza	9.0
4dmy	9.0
4flh	9.0
4omd	9.01
2fes	9.01
5w0e	9.03
6b7h	9.03
4gg5	9.03
4jh0	9.03
3lj3	9.03
3m37	9.04
3r0t	9.04
4od0	9.04
5tvn	9.04
6c4d	9.04
3tt0	9.05
4e4n	9.05
1udu	9.05
5i5z	9.05
2v12	9.05
2i6a	9.05
5m7s	9.05
5vfc	9.05
3vuc	9.05
1ezq	9.05
5vo6	9.05
4xkx	9.05
3hb4	9.05
3fc2	9.06
5trf	9.06
1you	9.06
4pv0	9.07
3aox	9.08
3ffg	9.08
1xmu	9.08
2w8y	9.09
1d3d	9.09
3mw1	9.09
2g5t	9.09
3ds6	9.1
2q1j	9.1
3krl	9.1
3uok	9.1
3byu	9.1
5gmp	9.1
3lea	9.1
5nwz	9.1
2c6e	9.1
3lpk	9.1
4ppa	9.1
6aum	9.1
3mdz	9.1
5b4l	9.12
1ove	9.13
3gen	9.14
5t8e	9.14
5j20	9.14
5l30	9.14
3zmm	9.14
4xg9	9.15
4pqn	9.15
1d5j	9.15
4mf1	9.15
3d91	9.15
3ibu	9.15
3rsv	9.15
4ql8	9.15
4clj	9.15
3sn7	9.15
4udb	9.15
6dkb	9.15
2qmg	9.15
4y8y	9.15
4bsq	9.15
4p6w	9.15
6aak	9.15
1ayu	9.15
6c7q	9.15
5q0e	9.16
1xoq	9.17
2ozr	9.17
2p94	9.17
5zz4	9.17
4ayv	9.17
5dhh	9.18
1z71	9.18
4ocz	9.18
2f14	9.19
2xb7	9.19
6awn	9.2
5laq	9.2
5ee7	9.21
1r6g	9.21
3rwp	9.22
2yb9	9.22
3b2w	9.22
3of8	9.22
3b8r	9.22
4uzd	9.22
6h33	9.22
3zc6	9.22
4an3	9.22
5i3w	9.22
1uho	9.22
2v0z	9.22
3gc7	9.22
6g3o	9.24
4dv8	9.24
6drx	9.24
4pjt	9.24
5koq	9.24
1db1	9.26
4zj8	9.26
4ty1	9.26
5a0c	9.27
3vhd	9.28
5iu4	9.28
4n6h	9.28
1xow	9.28
3g58	9.28
3rux	9.28
4asd	9.28
2qtu	9.28
2ayr	9.29
5anv	9.3
1bil	9.3
2yxj	9.3
2znt	9.3
5cgc	9.3
1udt	9.3
3vtb	9.3
1w6h	9.3
5ceo	9.3
3kqb	9.3
5t18	9.3
3d7f	9.3
2og8	9.3
5cgd	9.3
6h34	9.3
3b8q	9.3
1xp1	9.3
3bys	9.3
3kwj	9.3
4fkk	9.3
2aux	9.3
3vva	9.32
3wha	9.32
3krr	9.32
3gw5	9.33
3q4b	9.33
5f9e	9.34
