assay_chembl_id	assay_type
CHEMBL3369575	B
CHEMBL933561	B
CHEMBL904103	B
CHEMBL912247	B
CHEMBL3227816	B
CHEMBL1045261	B
CHEMBL1045262	B
CHEMBL1042582	B
CHEMBL901130	B
CHEMBL1050688	B
CHEMBL1108176	B
CHEMBL4184939	B
CHEMBL4337249	B
CHEMBL1838747	B
CHEMBL1111551	F
CHEMBL4351163	B
CHEMBL4019095	B
CHEMBL3131528	B
CHEMBL3131526	B
CHEMBL3240701	B
CHEMBL4326122	B
CHEMBL3626567	B
CHEMBL3861252	B
CHEMBL4308987	B
CHEMBL4308983	B
CHEMBL3784185	B
CHEMBL3784186	B
CHEMBL4308986	B
CHEMBL1109348	B
CHEMBL3282833	B
CHEMBL3258489	B
CHEMBL3253500	B
CHEMBL3282832	B
CHEMBL949939	B
CHEMBL1118768	B
CHEMBL3801645	B
CHEMBL3875535	B
CHEMBL4333244	B
CHEMBL3801643	B
CHEMBL3859794	B
CHEMBL3875502	B
CHEMBL4256790	B
CHEMBL4256789	B
CHEMBL4256791	B
CHEMBL1119563	B
CHEMBL3106549	B
CHEMBL3242258	B
CHEMBL3375435	B
CHEMBL1908532	B
CHEMBL4328414	B
CHEMBL4401828	B
CHEMBL4401827	B
CHEMBL4401864	B
CHEMBL1244834	B
CHEMBL3991710	B
CHEMBL2183681	B
CHEMBL3874937	B
CHEMBL3874938	B
CHEMBL3874939	B
CHEMBL3874940	B
CHEMBL1958566	B
CHEMBL1958573	B
CHEMBL2156119	B
CHEMBL2182555	B
CHEMBL2182558	B
CHEMBL2182565	B
CHEMBL2344879	B
CHEMBL2433591	B
CHEMBL2433084	B
CHEMBL2433086	B
CHEMBL3414206	B
CHEMBL3584939	B
CHEMBL3584940	B
CHEMBL3583515	B
CHEMBL3583516	B
CHEMBL3772862	B
CHEMBL3772861	B
CHEMBL3782819	B
CHEMBL3782820	B
CHEMBL3790856	B
CHEMBL4047508	B
CHEMBL4122988	B
CHEMBL4130829	B
CHEMBL4154869	B
CHEMBL4185410	B
CHEMBL4185405	B
CHEMBL4198470	B
CHEMBL4223756	B
CHEMBL4223757	B
CHEMBL4236639	B
CHEMBL4236638	B
CHEMBL4236637	B
CHEMBL4264627	B
CHEMBL4331528	B
CHEMBL4332486	B
CHEMBL4332487	B
CHEMBL4332488	B
CHEMBL4363361	B
CHEMBL4363360	B
CHEMBL4368994	B
CHEMBL4432554	B
CHEMBL4432555	B
CHEMBL4432556	B
CHEMBL4625578	B
CHEMBL3782536	B
CHEMBL3782537	B
CHEMBL3877187	B
CHEMBL3877181	B
CHEMBL4262433	B
CHEMBL4357123	B
CHEMBL4331530	B
CHEMBL3877171	B
CHEMBL4310083	B
CHEMBL3757071	B
CHEMBL4331529	B
CHEMBL3782657	B
CHEMBL3385100	B
CHEMBL3267582	B
CHEMBL4365543	B
CHEMBL4256786	B
CHEMBL1959072	B
CHEMBL1832996	B
CHEMBL2344880	B
CHEMBL1953108	B
CHEMBL1958561	B
CHEMBL1958562	B
CHEMBL1958568	B
CHEMBL1958569	B
CHEMBL1959065	B
CHEMBL2154059	B
CHEMBL2184786	B
CHEMBL2184787	B
CHEMBL2182561	B
CHEMBL2182562	B
CHEMBL3222867	B
CHEMBL3222868	B
CHEMBL3380069	B
CHEMBL3399181	B
CHEMBL3414207	B
CHEMBL3782661	B
CHEMBL3782818	B
CHEMBL3790855	B
CHEMBL3821505	B
CHEMBL3821507	B
CHEMBL3857868	B
CHEMBL3857869	B
CHEMBL3888339	B
CHEMBL3888340	B
CHEMBL4020283	B
CHEMBL4020217	B
CHEMBL4036368	B
CHEMBL4036389	B
CHEMBL4038734	B
CHEMBL4038735	B
CHEMBL4043411	B
CHEMBL4043410	B
CHEMBL4045021	B
CHEMBL4123149	B
CHEMBL4153114	B
CHEMBL4153115	B
CHEMBL4153116	B
CHEMBL4153117	B
CHEMBL4153118	B
CHEMBL4153119	B
CHEMBL4154867	B
CHEMBL4154870	B
CHEMBL4189284	B
CHEMBL4189285	B
CHEMBL4200424	B
CHEMBL4219281	B
CHEMBL4219280	B
CHEMBL4219542	B
CHEMBL4255967	B
CHEMBL4255966	B
CHEMBL4310079	B
CHEMBL4310078	B
CHEMBL4310101	B
CHEMBL4310102	B
CHEMBL4310120	B
CHEMBL4310082	B
CHEMBL4310236	B
CHEMBL4312047	B
CHEMBL4312048	B
CHEMBL4312049	B
CHEMBL4316560	B
CHEMBL4316561	B
CHEMBL4344648	B
CHEMBL4344647	B
CHEMBL4354443	B
CHEMBL4357124	B
CHEMBL4368944	B
CHEMBL4368945	B
CHEMBL4382969	B
CHEMBL4393198	B
CHEMBL4393200	B
CHEMBL4399709	B
CHEMBL4399700	B
CHEMBL4405040	B
CHEMBL4405927	B
CHEMBL4405928	B
CHEMBL4405929	B
CHEMBL4405930	B
CHEMBL4415481	B
CHEMBL4610481	B
CHEMBL4610482	B
CHEMBL4610775	B
CHEMBL4612475	B
CHEMBL4612477	B
CHEMBL4627900	B
CHEMBL4627899	B
CHEMBL4043456	B
CHEMBL4130847	B
CHEMBL2187903	B
CHEMBL2344878	B
CHEMBL3791151	B
CHEMBL4045020	B
CHEMBL4123147	B
CHEMBL4626980	B
CHEMBL4626976	B
CHEMBL4033128	B
CHEMBL4033193	B
CHEMBL4033194	B
CHEMBL4144034	B
CHEMBL4144035	B
CHEMBL4144056	B
CHEMBL4650005	B
CHEMBL2156112	B
CHEMBL4043413	B
CHEMBL4043412	B
CHEMBL3382829	B
CHEMBL3382846	B
CHEMBL3383401	B
CHEMBL3383412	B
CHEMBL3383413	B
