pdbid	uniprot_id_for_pdbid
10gs	P09211
184l	P00720
185l	P00720
187l	P00720
188l	P00720
1a07	P12931
1a08	P12931
1a1b	P12931
1a1c	P12931
1a1e	P12931
1a28	P06401
1a2c	P00734
1a46	P00734
1a4h	P02829
1a4r	P60953
1a4w	P00734
1a52	P03372
1a5g	P00734
1a61	P00734
1a7t	P25910
1a85	P22894
1a86	P22894
1a8i	P00489
1a9q	P55859
1afk	P61823
1agw	P11362
1apv	P00798
1aq1	P24941
1au0	P43235
1awf	P00734
1awh	P00734
1ayu	P43235
1ayv	P43235
1azm	P00915
1b0f	P08246
1b57	P0AB71
1b5g	P00734
1b8n	P55859
1b8o	P55859
1ba8	P00734
1bb0	P00734
1bcd	P00918
1bhf	P06239
1bhx	P00734
1bil	P00797
1biw	P08254
1bl4	P62942
1bl6	Q16539
1bl7	Q16539
1bm6	P08254
1bm7	P02766
1bmk	Q16539
1bmm	P00734
1bmn	P00734
1bmq	P29466
1bnm	P00918
1bp0	P00469
1bqo	P08254
1br6	P02879
1bxo	P00798
1bzc	P18031
1bzf	P00381
1bzj	P18031
1bzs	P22894
1bzy	P00492
1c1r	P00760
1c1u	P00734
1c4u	P00734
1c4v	P00734
1c5o	P00734
1c5x	P00749
1c83	P18031
1c84	P18031
1c86	P18031
1ca8	P00734
1caq	P08254
1cbr	P62965
1cbx	P00730
1cea	P00747
1ceb	P00747
1cgl	P03956
1cim	P00918
1cin	P00918
1cj1	P62993
1cnw	P00918
1cnx	P00918
1cny	P00918
1cqp	P20701
1cr6	P34914
1d2s	P04278
1d3d	P00734
1d3p	P00734
1d3q	P00734
1d5j	P08254
1d6w	P00734
1d7x	P08254
1d8e	P01116,Q02293,Q04631
1d8f	P08254
1d9i	P00734
1db1	P11473
1db4	P14555
1db5	P14555
1dgm	Q9TVW2
1di8	P24941
1di9	Q16539
1dis	P00381
1dqx	P03962
1dwc	P00734
1dwd	P00734
1dx6	P04058
1e1v	P24941
1e1x	P24941
1e1y	P00489
1e3g	P10275
1e3v	P07445
1e9h	P20248,P24941
1eb2	P00760
1ecv	P18031
1ek1	P34914
1ek2	P34914
1em6	P06737
1enu	P28720
1eou	P00918
1err	P03372
1ets	P00735
1ett	P00735
1eub	P45452
1eve	P04058
1ex8	P26281
1exv	P06737
1ezf	P37268
1ezq	P00742
1f0r	P00742
1f0s	P00742
1f0u	P00760
1f1j	P55210
1f3e	P28720
1f40	P62942
1f57	P00730
1f5l	P00749
1f92	P00749
1f9e	Q14790
