target_chembl_id	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos
CHEMBL1075026	P22629	Streptavidin	None	Unclassified
CHEMBL1075027	O85361	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	None	Unclassified
CHEMBL1075040	O67648	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	None	Unclassified
CHEMBL1075041	Q9FV53	Peptide deformylase 1A, chloroplastic/mitochondrial (AtDEF1) (AtPDF1A) (PDF 1A) (EC 3.5.1.88) (Polypeptide deformylase)	None	Unclassified
CHEMBL1075045	Q81VW8	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	None	Unclassified
CHEMBL1075053	P02754	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	None	Unclassified
CHEMBL1075067	P11838	Endothiapepsin (EC 3.4.23.22) (Aspartate protease)	None	Unclassified
CHEMBL1075088	P45040	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	None	Unclassified
CHEMBL1075097	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme
CHEMBL1075127	Q96CA5	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Baculoviral IAP repeat-containing protein 7	Other
CHEMBL1075132	Q12931	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Heat shock protein 75 kDa, mitochondrial	Other
CHEMBL1075152	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme
CHEMBL1075159	Q8RLA6	Beta-lactamase (Carbapenem-hydrolyzing beta-lactamase OXA-40) (Carbapenem-hydrolyzing class D beta-lactamase OXA-24) (Carbapenem-hydrolyzing oxacillinase) (Carbapenem-hydrolyzing oxacillinase OXA-40) (Carbapenemase OXA-24) (Class D beta-lactamase OXA-40) (OXA-24 class D beta-lactamase) (OXA24 B-lactamase) (Oxa40)	None	Unclassified
CHEMBL1075165	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	Phosphatidylinositol 3-kinase catalytic subunit type 3	Kinase
CHEMBL1075179	P00669	Seminal ribonuclease (S-RNase) (Seminal RNase) (EC 4.6.1.18) (Ribonuclease BS-1)	None	Unclassified
CHEMBL1075181	O00764	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	Pyridoxal kinase	Kinase
CHEMBL1075256	O32449	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)	None	Unclassified
CHEMBL1075317	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other
CHEMBL1075320	C3L5T6	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	None	Unclassified
CHEMBL1075323	P14625	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Endoplasmin	Other
