target_chembl_id	uniprot_id_from_chembl	target_name_from_chembl	target_type_from_chembl
CHEMBL1075026	P22629	Streptavidin	SINGLE PROTEIN
CHEMBL1075027	O85361	B-N-acetylhexosaminidase	SINGLE PROTEIN
CHEMBL1075040	O67648	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	SINGLE PROTEIN
CHEMBL1075041	Q9FV53	Peptide deformylase 1A, chloroplastic	SINGLE PROTEIN
CHEMBL1075045	Q81VW8	Dihydropteroate synthase	SINGLE PROTEIN
CHEMBL1075053	P02754	Beta-lactoglobulin	SINGLE PROTEIN
CHEMBL1075067	P11838	Endothiapepsin	SINGLE PROTEIN
CHEMBL1075088	P45040	Cysteine synthase	SINGLE PROTEIN
CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
CHEMBL1075127	Q96CA5	Baculoviral IAP repeat-containing protein 7	SINGLE PROTEIN
CHEMBL1075132	Q12931	Heat shock protein 75 kDa, mitochondrial	SINGLE PROTEIN
CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
CHEMBL1075159	Q8RLA6	Beta-lactamase	SINGLE PROTEIN
CHEMBL1075165	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3	SINGLE PROTEIN
CHEMBL1075179	P00669	Seminal ribonuclease	SINGLE PROTEIN
CHEMBL1075181	O00764	Pyridoxal kinase	SINGLE PROTEIN
CHEMBL1075256	O32449	Proline iminopeptidase	SINGLE PROTEIN
CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
CHEMBL1075320	C3L5T6	Nicotinate-nucleotide adenylyltransferase	SINGLE PROTEIN
CHEMBL1075323	P14625	Endoplasmin	SINGLE PROTEIN
CHEMBL1163101	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1	SINGLE PROTEIN
CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
CHEMBL1169593	P26918	Beta-lactamase	SINGLE PROTEIN
CHEMBL1169597	P00349	6-phosphogluconate dehydrogenase, decarboxylating	SINGLE PROTEIN
CHEMBL1169598	P03433	Polymerase acidic protein	SINGLE PROTEIN
CHEMBL1250374	Q9KPI8	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SINGLE PROTEIN
CHEMBL1250378	Q15393	Splicing factor 3B subunit 3	SINGLE PROTEIN
CHEMBL1250408	O88703	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	SINGLE PROTEIN
CHEMBL1255126	O15151	Protein Mdm4	SINGLE PROTEIN
CHEMBL1275212	P50053	Ketohexokinase	SINGLE PROTEIN
CHEMBL1275221	Q96LA8	Protein arginine N-methyltransferase 6	SINGLE PROTEIN
CHEMBL1275223	P11142	Heat shock cognate 71 kDa protein	SINGLE PROTEIN
CHEMBL1287604	Q6XEC0	OXA-48	SINGLE PROTEIN
CHEMBL1287618	P56109	Fructose-bisphosphate aldolase	SINGLE PROTEIN
CHEMBL1287620	P9WQA3	Fructose-bisphosphate aldolase	SINGLE PROTEIN
CHEMBL1287622	Q9Y468	Lethal(3)malignant brain tumor-like protein 1	SINGLE PROTEIN
CHEMBL1293195	P29029	Endochitinase	SINGLE PROTEIN
CHEMBL1293197	Q9BZP6	Acidic mammalian chitinase	SINGLE PROTEIN
CHEMBL1293226	B2RXH2	Lysine-specific demethylase 4D-like	SINGLE PROTEIN
CHEMBL1293229	P22736	Nuclear receptor subfamily 4 group A member 1	SINGLE PROTEIN
CHEMBL1293244	Q79MP6	Beta-lactamase	SINGLE PROTEIN
CHEMBL1293287	P14735	Insulin-degrading enzyme	SINGLE PROTEIN
CHEMBL1293289	P25440	Bromodomain-containing protein 2	SINGLE PROTEIN
CHEMBL1293295	P54578	Ubiquitin carboxyl-terminal hydrolase 14	SINGLE PROTEIN
CHEMBL1293313	Q8IL11	M17 leucyl aminopeptidase	SINGLE PROTEIN
CHEMBL1615381	O00255	Menin	SINGLE PROTEIN
CHEMBL1667695	C7C422	Beta-lactamase NDM-1	SINGLE PROTEIN
CHEMBL1671608	P56470	Galectin-4	SINGLE PROTEIN
CHEMBL1681620	P0A017	Dihydrofolate reductase	SINGLE PROTEIN
CHEMBL1681631	O75608	Acyl-protein thioesterase 1	SINGLE PROTEIN
CHEMBL1741186	P51449	Nuclear receptor ROR-gamma	SINGLE PROTEIN
CHEMBL1741220	Q9UIF8	Bromodomain adjacent to zinc finger domain protein 2B	SINGLE PROTEIN
CHEMBL1744522	Q99814	Endothelial PAS domain-containing protein 1	SINGLE PROTEIN
CHEMBL1744525	P43490	Nicotinamide phosphoribosyltransferase	SINGLE PROTEIN
CHEMBL1764940	P27694	Replication protein A 70 kDa DNA-binding subunit	SINGLE PROTEIN
CHEMBL1764946	O95931	Chromobox protein homolog 7	SINGLE PROTEIN
CHEMBL1770044	P9WKD7	Ribose-5-phosphate isomerase B	SINGLE PROTEIN
CHEMBL1770045	Q9N1E2	Glucose-6-phosphate isomerase	SINGLE PROTEIN
CHEMBL1772929	P9WMC1	HTH-type transcriptional regulator EthR	SINGLE PROTEIN
CHEMBL1781862	Q9BJF5	Calmodulin-domain protein kinase 1	SINGLE PROTEIN
CHEMBL1781865	P11021	78 kDa glucose-regulated protein	SINGLE PROTEIN
CHEMBL1782	P14324	Farnesyl diphosphate synthase	SINGLE PROTEIN
CHEMBL1795116	O14744	Protein arginine N-methyltransferase 5	SINGLE PROTEIN
CHEMBL1795117	Q8TEK3	Histone-lysine N-methyltransferase, H3 lysine-79 specific	SINGLE PROTEIN
CHEMBL1795155	P95276	Epoxide hydrolase	SINGLE PROTEIN
CHEMBL1795176	Q9NQR1	N-lysine methyltransferase SETD8	SINGLE PROTEIN
CHEMBL1795184	Q86U86	Protein polybromo-1	SINGLE PROTEIN
CHEMBL1795185	Q58F21	Bromodomain testis-specific protein	SINGLE PROTEIN
CHEMBL1795187	Q48935	Acetylpolyamine aminohydrolase	SINGLE PROTEIN
CHEMBL1800	P34998	Corticotropin releasing factor receptor 1	SINGLE PROTEIN
CHEMBL1801	P00747	Plasminogen	SINGLE PROTEIN
CHEMBL1803	P20701	Leukocyte adhesion glycoprotein LFA-1 alpha	SINGLE PROTEIN
CHEMBL1808	P12821	Angiotensin-converting enzyme	SINGLE PROTEIN
CHEMBL1824	P04626	Receptor protein-tyrosine kinase erbB-2	SINGLE PROTEIN
CHEMBL1825	P01375	TNF-alpha	SINGLE PROTEIN
CHEMBL1826	P0AES6	DNA gyrase subunit B	SINGLE PROTEIN
CHEMBL1827	O76074	Phosphodiesterase 5A	SINGLE PROTEIN
CHEMBL1830	P23921	Ribonucleoside-diphosphate reductase M1 chain	SINGLE PROTEIN
CHEMBL1833	P41595	Serotonin 2b (5-HT2b) receptor	SINGLE PROTEIN
CHEMBL1841	P06241	Tyrosine-protein kinase FYN	SINGLE PROTEIN
CHEMBL1844	P07333	Macrophage colony stimulating factor receptor	SINGLE PROTEIN
CHEMBL1860	P10827	Thyroid hormone receptor alpha	SINGLE PROTEIN
CHEMBL1862	P00519	Tyrosine-protein kinase ABL	SINGLE PROTEIN
CHEMBL1865	Q9UBN7	Histone deacetylase 6	SINGLE PROTEIN
CHEMBL1868	P17948	Vascular endothelial growth factor receptor 1	SINGLE PROTEIN
CHEMBL1871	P10275	Androgen Receptor	SINGLE PROTEIN
CHEMBL1892	Q04609	Glutamate carboxypeptidase II	SINGLE PROTEIN
CHEMBL1902	P62942	FK506-binding protein 1A	SINGLE PROTEIN
CHEMBL1904	Q13224	Glutamate [NMDA] receptor subunit epsilon 2	SINGLE PROTEIN
CHEMBL1905	P05556	Fibronectin receptor beta	SINGLE PROTEIN
CHEMBL1907	P15144	Aminopeptidase N	SINGLE PROTEIN
CHEMBL1907598	P05106,P06756	Integrin alpha-V/beta-3	PROTEIN COMPLEX
CHEMBL1907608	P35439,Q00959,Q00960,Q00961,Q62645,Q8VHN2,Q9R1M7	Glutamate NMDA receptor	PROTEIN COMPLEX GROUP
CHEMBL1908385	P9WI81	Serine/threonine-protein kinase pknB	SINGLE PROTEIN
CHEMBL1908389	Q12852	Mitogen-activated protein kinase kinase kinase 12	SINGLE PROTEIN
CHEMBL1909482	P31947	14-3-3 protein sigma	SINGLE PROTEIN
CHEMBL1914	P06276	Butyrylcholinesterase	SINGLE PROTEIN
CHEMBL1918	P39086	Glutamate receptor ionotropic kainate 1	SINGLE PROTEIN
CHEMBL1921666	P0A0K8	DNA gyrase subunit B	SINGLE PROTEIN
CHEMBL1926	P16184	Dihydrofolate reductase	SINGLE PROTEIN
CHEMBL1926492	Q5TCY1	Tau-tubulin kinase 1	SINGLE PROTEIN
CHEMBL1932891	O95372	Acyl-protein thioesterase 2	SINGLE PROTEIN
CHEMBL1935	P05091	Aldehyde dehydrogenase	SINGLE PROTEIN
CHEMBL1936	P10721	Stem cell growth factor receptor	SINGLE PROTEIN
CHEMBL1937	Q92769	Histone deacetylase 2	SINGLE PROTEIN
CHEMBL1938211	O15054	Lysine-specific demethylase 6B	SINGLE PROTEIN
CHEMBL1938217	Q8NB16	Mixed lineage kinase domain-like protein	SINGLE PROTEIN
CHEMBL1944	P08473	Neprilysin	SINGLE PROTEIN
CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	SINGLE PROTEIN
CHEMBL1947	P10828	Thyroid hormone receptor beta-1	SINGLE PROTEIN
CHEMBL1949	P62937	Cyclophilin A	SINGLE PROTEIN
CHEMBL1949488	Q96C86	Scavenger mRNA-decapping enzyme DcpS	SINGLE PROTEIN
CHEMBL1952	P04818	Thymidylate synthase	SINGLE PROTEIN
CHEMBL1957	P08069	Insulin-like growth factor I receptor	SINGLE PROTEIN
CHEMBL1962	P14867	GABA receptor alpha-1 subunit	SINGLE PROTEIN
CHEMBL1977	P11473	Vitamin D receptor	SINGLE PROTEIN
CHEMBL1981	P06213	Insulin receptor	SINGLE PROTEIN
CHEMBL1985	P47871	Glucagon receptor	SINGLE PROTEIN
CHEMBL1994	P08235	Mineralocorticoid receptor	SINGLE PROTEIN
CHEMBL2000	P03952	Plasma kallikrein	SINGLE PROTEIN
CHEMBL2001	Q9H244	Purinergic receptor P2Y12	SINGLE PROTEIN
CHEMBL2003	P13631	Retinoic acid receptor gamma	SINGLE PROTEIN
CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic	SINGLE PROTEIN
CHEMBL2007628	P54829	Tyrosine-protein phosphatase non-receptor type 5	SINGLE PROTEIN
