pdbid	crylig_smiles	crylig_heavy_atom_number
1swr	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	16
1jak	CC(=O)N[C@H]1[NH2+]C[C@H](CO)[C@H](O)[C@@H]1O	14
1hp5	CC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1	14
2o3z	CCCCCCCOc1cccc(C(=O)O)c1	17
4je7	CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C	27
4daf	C[C@@H](C(=O)O)c1nnc2nc(N)[nH]c(=O)c2c1O	18
3h26	C[n+]1cc(C(=O)O)nc2c(=O)[nH+]c(N)[nH]c21	16
3h2o	Nc1[nH]c(=O)c2nc(CCNc3ccc(C(=O)O)cc3)cnc2[nH+]1	24
3h2f	CN1CC=Nc2c1[nH+]c(N)[nH]c2=O	13
1gx8	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	21
2v00	Nc1nc(CCc2ccccc2)cc(=O)[nH]1	16
3iqi	CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]([NH3+])CC(N)=O)C(=O)O	34
3iqh	CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]([NH3+])Cc1ccc(O)cc1)C(=O)O	29
3iqg	CC[C@H](C)[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]([NH3+])CC(N)=O)C(=O)O	39
3mfw	Nc1ncc(C[C@H]([NH3+])C(=O)O)[nH]1	12
3mfv	Nc1ncc(CC[C@H]([NH3+])C(=O)O)[nH]1	13
3kv2	N/C(=N\O)NCC[C@H]([NH3+])C(=O)O	12
3lp4	[NH3+]CCCC[C@H]([NH3+])C(=O)O	10
3mjl	Nc1ncc[nH]1	6
3gta	C[NH2+][C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)cccc2s1)C1CCCCC1	36
3gt9	C[NH2+][C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2cccc3ccccc23)cs1)C1CCCCC1	36
3uw5	C[NH2+][C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1	35
5y3n	Nc1nc(Cl)c2cnn(Cc3cc4c(cc3Br)OCO4)c2n1	22
5y3o	COc1c(C)cnc(Cn2ncc3c(Cl)nc(N)nc32)c1C	22
4ly9	C[C@H]1COCC[N@H+]1C[C@H]1CN(S(=O)(=O)c2cccs2)CCN1c1ccc([C@@](C)(O)C(F)(F)F)cc1	35
4msu	O=S(=O)(c1cccs1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1	30
4ohm	CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([C@](O)(CO)C(F)(F)F)cc1	33
4mqu	CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1	35
4oho	CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([S@](=N)(=O)C(F)(F)F)cc1	32
4ohp	CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(S(=O)(=O)NC)cc1	30
