pdbid	uniprot_id_for_pdbid	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos	target_chembl_id	uniprot_id_from_chembl	target_name_from_chembl	target_type_from_chembl
1swr	P22629	P22629	Streptavidin	None	Unclassified	CHEMBL1075026	P22629	Streptavidin	SINGLE PROTEIN
1jak	O85361	O85361	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	None	Unclassified	CHEMBL1075027	O85361	B-N-acetylhexosaminidase	SINGLE PROTEIN
1hp5	O85361	O85361	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	None	Unclassified	CHEMBL1075027	O85361	B-N-acetylhexosaminidase	SINGLE PROTEIN
2o3z	O67648	O67648	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	None	Unclassified	CHEMBL1075040	O67648	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	SINGLE PROTEIN
4je7	Q9FV53	Q9FV53	Peptide deformylase 1A, chloroplastic/mitochondrial (AtDEF1) (AtPDF1A) (PDF 1A) (EC 3.5.1.88) (Polypeptide deformylase)	None	Unclassified	CHEMBL1075041	Q9FV53	Peptide deformylase 1A, chloroplastic	SINGLE PROTEIN
4daf	Q81VW8	Q81VW8	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	None	Unclassified	CHEMBL1075045	Q81VW8	Dihydropteroate synthase	SINGLE PROTEIN
3h26	Q81VW8	Q81VW8	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	None	Unclassified	CHEMBL1075045	Q81VW8	Dihydropteroate synthase	SINGLE PROTEIN
3h2o	Q81VW8	Q81VW8	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	None	Unclassified	CHEMBL1075045	Q81VW8	Dihydropteroate synthase	SINGLE PROTEIN
3h2f	Q81VW8	Q81VW8	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	None	Unclassified	CHEMBL1075045	Q81VW8	Dihydropteroate synthase	SINGLE PROTEIN
1gx8	P02754	P02754	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	None	Unclassified	CHEMBL1075053	P02754	Beta-lactoglobulin	SINGLE PROTEIN
2v00	P11838	P11838	Endothiapepsin (EC 3.4.23.22) (Aspartate protease)	None	Unclassified	CHEMBL1075067	P11838	Endothiapepsin	SINGLE PROTEIN
