target_chembl_id	pdbid	compound	total_sampled_num	calculated_binding_energy	calculated_delta_lig_conform_energy	core_RMSD
CHEMBL1075026	1swr	CHEMBL857	6	-51.95	-3.19	0.28
CHEMBL1075027	1jak	CHEMBL253537	6	-117.77	-16.52	0.34
CHEMBL1075027	1hp5	CHEMBL257158	6	22.72	-9.82	0.26
CHEMBL1075027	1hp5	CHEMBL403756	6	11.87	-3.73	0.67
CHEMBL1075027	1hp5	CHEMBL404356	6	26.98	-11.12	0.35
CHEMBL1075040	2o3z	CHEMBL1161944	6	-1.94	-3.27	0.66
CHEMBL1075040	2o3z	CHEMBL1161946	6	1.29	-4.51	0.63
CHEMBL1075040	2o3z	CHEMBL1161947	36	-1.96	-9.83	0.78
CHEMBL1075040	2o3z	CHEMBL1161949	6	-24.6	-1.15	0.54
CHEMBL1075041	4je7	CHEMBL308333	6	-602.67	-9.26	0.53
CHEMBL1075045	4daf	CHEMBL3219803	6	-34.99	-7.23	0.53
CHEMBL1075045	3h26	CHEMBL567987	6	-34.8	-6.8	0.83
CHEMBL1075045	3h2o	CHEMBL576455	6	-23.48	-3.38	0.38
CHEMBL1075045	3h2f	CHEMBL577547	6	-26.46	-5.63	0.19
CHEMBL1075045	3h2f	CHEMBL577755	6	-33.29	-2.47	0.21
CHEMBL1075045	3h2f	CHEMBL578135	36	-40.78	-5.53	0.16
CHEMBL1075053	1gx8	CHEMBL986	6	-38.5	-3.57	0.87
CHEMBL1075067	2v00	CHEMBL235821	6	20.8	-7.41	1.07
CHEMBL1075088	3iqi	CHEMBL568812	1000	-25.23	-6.26	1.72
CHEMBL1075088	3iqh	CHEMBL568828	1000	-24.84	-13.84	1.25
CHEMBL1075088	3iqg	CHEMBL568900	1000	-45.51	-12.62	1.33
CHEMBL1075088	3iqh	CHEMBL568986	1000	-20.75	-16.5	1.12
CHEMBL1075088	3iqh	CHEMBL568987	1000	-20.06	-17.32	0.7
CHEMBL1075088	3iqi	CHEMBL569308	1000	-33.37	-14.97	0.94
CHEMBL1075088	3iqi	CHEMBL569309	2000	-31.6	-15.42	1.39
CHEMBL1075088	3iqi	CHEMBL570451	1000	-20.05	-16.4	1.17
CHEMBL1075088	3iqi	CHEMBL571766	2000	-31.64	-8.81	1.16
CHEMBL1075088	3iqi	CHEMBL571997	2000	-33.25	-13.01	0.69
CHEMBL1075088	3iqi	CHEMBL576268	1000	-24.6	-19.15	1.78
CHEMBL1075088	3iqi	CHEMBL585737	1000	-26.85	-8.88	1.12
CHEMBL1075097	3mfw	CHEMBL1099167	6	26.35	-6.35	0.54
CHEMBL1075097	3mfv	CHEMBL1099168	6	-1326.8	-12.32	0.82
CHEMBL1075097	3kv2	CHEMBL1234777	6	-1312.78	-19.77	0.54
CHEMBL1075097	3lp4	CHEMBL1834160	36	24.92	-3.42	0.63
CHEMBL1075097	3mjl	CHEMBL291627	6	14.17	-0.81	1.95
CHEMBL1075127	3gta	CHEMBL1089012	6	-76.52	-5.13	0.5
CHEMBL1075127	3gta	CHEMBL1089023	6	-80.9	-3.5	0.41
CHEMBL1075127	3gta	CHEMBL1089024	36	-81.89	-4.8	0.37
CHEMBL1075127	3gta	CHEMBL1089398	6	-80.42	-3.41	0.41
CHEMBL1075127	3gta	CHEMBL1089693	6	-76.6	-4.53	0.34
CHEMBL1075127	3gta	CHEMBL1089694	6	-78.02	-4.3	0.34
CHEMBL1075127	3gta	CHEMBL1089695	6	-82.33	-5.03	0.31
CHEMBL1075127	3gta	CHEMBL1090431	6	-83.48	-4.02	0.32
CHEMBL1075127	3gt9	CHEMBL1090770	6	-75.44	-4.73	0.36
CHEMBL1075127	3gta	CHEMBL1090866	6	-80.81	-3.86	0.36
CHEMBL1075127	3gt9	CHEMBL1090867	6	-77.05	-3.64	0.35
